shot,start,dur,cls
1,0.0,34.37,D1
2,34.37,79.29,A
3,113.66,78.41,A
4,192.07,20.56,D1
5,212.63,10.05,A
6,222.68,8.51,A
7,231.19,1.96,A
8,233.15,75.07,C
9,308.22,2.63,C
10,310.85,1.17,C
11,312.02,0.79,C
12,312.81,1.96,C
13,314.77,1.67,C
14,316.44,14.64,C
15,331.08,1.13,C
16,332.21,2.42,C
17,334.63,2.54,C
18,337.17,1.46,C
19,338.63,1.42,C
20,340.05,4.67,C
21,344.72,0.96,C
22,345.68,2.09,C
23,347.76,1.29,C
24,349.06,1.04,C
25,350.1,48.51,B
26,398.61,9.09,A
27,407.7,2.84,A
28,410.54,4.0,A
29,414.54,17.18,A
30,431.72,3.38,B
31,435.1,25.07,B
32,460.17,9.84,B
33,470.01,28.53,B
34,498.54,241.66,D1
35,740.2,26.74,D1
36,766.93,21.86,D1
37,788.79,1.42,C
38,790.21,14.81,D2
