market,competence,verdict,per_video,median_views,best_views,best_title,best_channel,best_subs,latest,n_matches,n_results,median_runtime_min,reachable_hits,region,query
personal finance,expert,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
investing & stock market,expert,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
retirement planning,expert,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
insurance,expert,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
real estate,expert,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
economics,expert,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
accounting,expert,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
taxes,strong,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
credit & debt,strong,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
banking,strong,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
crypto,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
business strategy,expert,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
management & leadership,expert,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
entrepreneurship,expert,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
marketing,expert,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
B2B & SaaS,expert,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
information systems,expert,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
supply chain,strong,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
sales,strong,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
careers & jobs,strong,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
higher education,expert,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
productivity,strong,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
nutrition,strong,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
fitness & exercise,strong,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
longevity,strong,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
mental health,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
sleep,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
medicine,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
AI & machine learning,strong,THIN,0.12,1868,1868,"After 5 Years Of Marriage, I Finally Saw My Husband’s True Face | regretful ex | divorce drama",Cherish after losing.,15300,2026-08-09,1,1,98.5,1,US,my after years of a
software engineering,strong,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
consumer tech,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
cybersecurity,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
space,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
history,general,TAKEN,0.97,30991,30991,"After 8 Years of Marriage, My Husband Cheated With My Best Friend—I Left Him With Nothing#260730slB2",Rose Drama,32100,2026-08-05,1,1,62.4,1,US,my after years of a
military history,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
science,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
psychology,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
philosophy,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
true crime,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
geography,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
engineering & how-things-work,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
aviation,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
maritime,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
disasters,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
parenting,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
relationships,general,TAKEN,0.97,16429,113099,"After 18 years of marriage, I just found out that my children aren't mine.",Talereader,446000,2026-08-10,4,4,32.7,3,US,my after years of a
self-improvement,general,THIN,13.42,6709,6709,AFTER 7 YEARS OF SACRIFICE… NOW EVERYONE’S RECORDING MY COMEBACK. 🔥,Noir Behavior,500,2026-08-10,1,1,0.2,1,US,my after years of a
travel,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
food & cooking,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
fashion & beauty,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
home & DIY,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
cars & automotive,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
pets,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
gardening,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
gaming,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
sports,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
football (soccer),general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
basketball,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
movies & TV,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
music,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
anime,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
celebrity,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
comics & superheroes,general,FREE,,0,0,,,,,0,9,0,0,US,my after years of a
