market,competence,verdict,per_video,median_views,best_views,best_title,best_channel,best_subs,latest,n_matches,n_results,median_runtime_min,reachable_hits,region,query
personal finance,expert,THIN,,13957,13957,Do This BEFORE The NEW Sell Lemons UPDATE! - Everything You Need To Know SELL LEMONS! (Sell Lemons),Cocajola,354000,2026-06-22,1,1,6.0,0,US,every must do this before new
investing & stock market,expert,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
retirement planning,expert,TAKEN,11.72,89134,201518,Every Senior Must Do This Before July 2026 — New Social Security Bank Rule,Thomas Merritt,17200,2026-08-06,4,4,21.65,3,US,every must do this before new
insurance,expert,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
real estate,expert,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
economics,expert,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
accounting,expert,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
taxes,strong,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
credit & debt,strong,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
banking,strong,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
crypto,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
business strategy,expert,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
management & leadership,expert,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
entrepreneurship,expert,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
marketing,expert,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
B2B & SaaS,expert,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
information systems,expert,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
supply chain,strong,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
sales,strong,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
careers & jobs,strong,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
higher education,expert,VACATED,,3003636,12897005,Do This Before You Start Your Homework,Gohar Khan,7790000,2023-09-10,3,3,0.5,0,US,every must do this before new
productivity,strong,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
nutrition,strong,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
fitness & exercise,strong,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
longevity,strong,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
mental health,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
sleep,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
medicine,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
AI & machine learning,strong,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
software engineering,strong,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
consumer tech,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
cybersecurity,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
space,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
history,general,VACATED,,4283344,4283344,Do This Before Your History Exam,Gohar Khan,7790000,2022-04-30,1,1,0.5,0,US,every must do this before new
military history,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
science,general,VACATED,,8266972,15453073,Dr Joe Dispenza: You MUST Do This Before 10am!,The Diary Of A CEO,19000000,2024-07-17,2,2,60.55,0,US,every must do this before new
psychology,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
philosophy,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
true crime,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
geography,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
engineering & how-things-work,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
aviation,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
maritime,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
disasters,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
parenting,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
relationships,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
self-improvement,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
travel,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
food & cooking,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
fashion & beauty,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
home & DIY,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
cars & automotive,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
pets,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
gardening,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
gaming,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
sports,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
football (soccer),general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
basketball,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
movies & TV,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
music,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
anime,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
celebrity,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
comics & superheroes,general,FREE,,0,0,,,,,0,16,0,0,US,every must do this before new
