market,competence,verdict,per_video,median_views,best_views,best_title,best_channel,best_subs,latest,n_matches,n_results,median_runtime_min,reachable_hits,region,query
personal finance,expert,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
investing & stock market,expert,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
retirement planning,expert,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
insurance,expert,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
real estate,expert,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
economics,expert,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
accounting,expert,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
taxes,strong,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
credit & debt,strong,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
banking,strong,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
crypto,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
business strategy,expert,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
management & leadership,expert,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
entrepreneurship,expert,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
marketing,expert,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
B2B & SaaS,expert,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
information systems,expert,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
supply chain,strong,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
sales,strong,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
careers & jobs,strong,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
higher education,expert,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
productivity,strong,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
nutrition,strong,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
fitness & exercise,strong,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
longevity,strong,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
mental health,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
sleep,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
medicine,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
AI & machine learning,strong,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
software engineering,strong,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
consumer tech,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
cybersecurity,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
space,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
history,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
military history,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
science,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
psychology,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
philosophy,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
true crime,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
geography,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
engineering & how-things-work,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
aviation,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
maritime,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
disasters,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
parenting,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
relationships,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
self-improvement,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
travel,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
food & cooking,general,UNPROVEN,,0,0,,,,,0,3,0,0,US,I analyzed all so you don't have to
