market,competence,verdict,per_video,median_views,best_views,best_title,best_channel,best_subs,latest,n_matches,n_results,median_runtime_min,reachable_hits,region,query
personal finance,expert,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
investing & stock market,expert,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
retirement planning,expert,TAKEN,11.72,66352,201518,Every Senior Must Do This Before July 2026 — New Social Security Bank Rule,Thomas Merritt,17200,2026-08-06,3,3,19.0,3,US,every must do this before new
insurance,expert,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
real estate,expert,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
economics,expert,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
accounting,expert,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
taxes,strong,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
credit & debt,strong,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
banking,strong,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
crypto,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
business strategy,expert,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
management & leadership,expert,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
entrepreneurship,expert,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
marketing,expert,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
B2B & SaaS,expert,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
information systems,expert,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
supply chain,strong,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
sales,strong,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
careers & jobs,strong,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
higher education,expert,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
productivity,strong,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
nutrition,strong,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
fitness & exercise,strong,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
longevity,strong,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
mental health,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
sleep,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
medicine,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
AI & machine learning,strong,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
software engineering,strong,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
consumer tech,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
cybersecurity,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
space,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
history,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
military history,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
science,general,VACATED,,15453073,15453073,Dr Joe Dispenza: You MUST Do This Before 10am!,The Diary Of A CEO,19000000,2023-08-14,1,1,120.1,0,US,every must do this before new
psychology,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
philosophy,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
true crime,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
geography,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
engineering & how-things-work,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
aviation,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
maritime,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
disasters,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
parenting,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
relationships,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
self-improvement,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
travel,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
food & cooking,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
fashion & beauty,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
home & DIY,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
cars & automotive,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
pets,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
gardening,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
gaming,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
sports,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
football (soccer),general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
basketball,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
movies & TV,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
music,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
anime,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
celebrity,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
comics & superheroes,general,UNPROVEN,,0,0,,,,,0,4,0,0,US,every must do this before new
