market,competence,verdict,per_video,median_views,best_views,best_title,best_channel,best_subs,latest,n_matches,n_results,median_runtime_min,reachable_hits,region,query
personal finance,expert,FREE,,0,0,,,,,0,38,0,0,US,the year old
investing & stock market,expert,FREE,,0,0,,,,,0,38,0,0,US,the year old
retirement planning,expert,FREE,,0,0,,,,,0,38,0,0,US,the year old
insurance,expert,FREE,,0,0,,,,,0,38,0,0,US,the year old
real estate,expert,FREE,,0,0,,,,,0,38,0,0,US,the year old
economics,expert,FREE,,0,0,,,,,0,38,0,0,US,the year old
accounting,expert,FREE,,0,0,,,,,0,38,0,0,US,the year old
taxes,strong,FREE,,0,0,,,,,0,38,0,0,US,the year old
credit & debt,strong,FREE,,0,0,,,,,0,38,0,0,US,the year old
banking,strong,FREE,,0,0,,,,,0,38,0,0,US,the year old
crypto,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
business strategy,expert,FREE,,0,0,,,,,0,38,0,0,US,the year old
management & leadership,expert,FREE,,0,0,,,,,0,38,0,0,US,the year old
entrepreneurship,expert,FREE,,0,0,,,,,0,38,0,0,US,the year old
marketing,expert,FREE,,0,0,,,,,0,38,0,0,US,the year old
B2B & SaaS,expert,FREE,,0,0,,,,,0,38,0,0,US,the year old
information systems,expert,FREE,,0,0,,,,,0,38,0,0,US,the year old
supply chain,strong,FREE,,0,0,,,,,0,38,0,0,US,the year old
sales,strong,FREE,,0,0,,,,,0,38,0,0,US,the year old
careers & jobs,strong,FREE,,0,0,,,,,0,38,0,0,US,the year old
higher education,expert,FREE,,0,0,,,,,0,38,0,0,US,the year old
productivity,strong,FREE,,0,0,,,,,0,38,0,0,US,the year old
nutrition,strong,TAKEN,,42316169,84601352,26 Year Old Looks Like A Child 😳,Craft Factory,1530000,2026-08-09,2,2,9.55,0,US,the year old
fitness & exercise,strong,VACATED,,59242097,59242097,I was probably the biggest 14 year old out there😍 #bodybuilding #fitness #fyp #shorts #gym,Nicolas Berndt,527000,2023-02-24,1,1,0.2,0,US,the year old
longevity,strong,FREE,,0,0,,,,,0,38,0,0,US,the year old
mental health,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
sleep,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
medicine,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
AI & machine learning,strong,FREE,,0,0,,,,,0,38,0,0,US,the year old
software engineering,strong,FREE,,0,0,,,,,0,38,0,0,US,the year old
consumer tech,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
cybersecurity,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
space,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
history,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
military history,general,TAKEN,,30987,30987,95 Year Old Super Grandma Survived War and Still Runs Her Family Diner,Japanese Food Craftsman,1840000,2026-08-09,1,1,19.0,0,US,the year old
science,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
psychology,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
philosophy,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
true crime,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
geography,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
engineering & how-things-work,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
aviation,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
maritime,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
disasters,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
parenting,general,TAKEN,34.21,84601352,351117041,"Toddler Learning Video with Ms Rachel | 2 Year Old Milestones, Speech & Social Skills for Toddlers",Ms Rachel - Toddler Learning Videos,20900000,2025-08-26,7,7,0.7,1,US,the year old
relationships,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
self-improvement,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
travel,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
food & cooking,general,TAKEN,,30987,84601352,26 Year Old Looks Like A Child 😳,Craft Factory,1530000,2026-08-09,3,3,0.3,0,US,the year old
fashion & beauty,general,TAKEN,,84601352,84601352,26 Year Old Looks Like A Child 😳,Craft Factory,1530000,2025-08-26,1,1,0.1,0,US,the year old
home & DIY,general,TAKEN,,84601352,84601352,26 Year Old Looks Like A Child 😳,Craft Factory,1530000,2025-08-26,1,1,0.1,0,US,the year old
cars & automotive,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
pets,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
gardening,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
gaming,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
sports,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
football (soccer),general,VACATED,799.02,99078204,99078204,Best 6 year old Soccer player in the U.S,Placeboeffecttv,124000,2015-06-26,1,1,3.5,1,US,the year old
basketball,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
movies & TV,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
music,general,VACATED,,351117041,379753395,"Marshmello surprises 3 year old Lethan, who dressed like him for Halloween",Marshmello,58600000,2023-02-06,3,3,8.1,0,US,the year old
anime,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
celebrity,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
comics & superheroes,general,FREE,,0,0,,,,,0,38,0,0,US,the year old
