market,competence,verdict,per_video,median_views,best_views,best_title,best_channel,best_subs,latest,n_matches,n_results,median_runtime_min,reachable_hits,region,query
personal finance,expert,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
investing & stock market,expert,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
retirement planning,expert,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
insurance,expert,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
real estate,expert,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
economics,expert,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
accounting,expert,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
taxes,strong,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
credit & debt,strong,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
banking,strong,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
crypto,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
business strategy,expert,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
management & leadership,expert,VACATED,,3168057,3442238,Ranking EVERY Boss Fight In Super Mario Odyssey!,Switch Stop,320000,2024-05-10,2,2,20.0,0,US,ranking every level of
entrepreneurship,expert,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
marketing,expert,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
B2B & SaaS,expert,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
information systems,expert,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
supply chain,strong,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
sales,strong,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
careers & jobs,strong,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
higher education,expert,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
productivity,strong,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
nutrition,strong,TAKEN,,633389,633389,Ranking EVERY Heat Level of Daves Hot Chicken MILD to REAPER!!,HellthyJunkFood,2940000,2025-06-15,1,1,2.8,0,US,ranking every level of
fitness & exercise,strong,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
longevity,strong,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
mental health,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
sleep,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
medicine,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
AI & machine learning,strong,TAKEN,,633389,633389,Ranking EVERY Heat Level of Daves Hot Chicken MILD to REAPER!!,HellthyJunkFood,2940000,2025-06-15,1,1,2.8,0,US,ranking every level of
software engineering,strong,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
consumer tech,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
cybersecurity,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
space,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
history,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
military history,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
science,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
psychology,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
philosophy,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
true crime,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
geography,general,VACATED,,2420105,2420105,Ranking Every Country,Sambucha,11900000,2024-03-15,1,1,0.6,0,US,ranking every level of
engineering & how-things-work,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
aviation,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
maritime,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
disasters,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
parenting,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
relationships,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
self-improvement,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
travel,general,VACATED,,2420105,2420105,Ranking Every Country,Sambucha,11900000,2024-03-15,1,1,0.6,0,US,ranking every level of
food & cooking,general,TAKEN,,633389,633389,Ranking EVERY Heat Level of Daves Hot Chicken MILD to REAPER!!,HellthyJunkFood,2940000,2025-06-15,1,1,2.8,0,US,ranking every level of
fashion & beauty,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
home & DIY,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
cars & automotive,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
pets,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
gardening,general,FREE,,0,0,,,,,0,73,0,0,US,ranking every level of
gaming,general,TAKEN,11.83,484634,8386093,Ranking Every Legendary Trio from Worst to Best,Minus,352000,2026-08-08,5,5,1.0,2,US,ranking every level of
