market,competence,verdict,per_video,median_views,best_views,best_title,best_channel,best_subs,latest,n_matches,n_results,median_runtime_min,reachable_hits,region,query
personal finance,expert,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
investing & stock market,expert,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
retirement planning,expert,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
insurance,expert,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
real estate,expert,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
economics,expert,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
accounting,expert,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
taxes,strong,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
credit & debt,strong,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
banking,strong,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
crypto,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
business strategy,expert,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
management & leadership,expert,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
entrepreneurship,expert,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
marketing,expert,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
B2B & SaaS,expert,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
information systems,expert,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
supply chain,strong,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
sales,strong,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
careers & jobs,strong,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
higher education,expert,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
productivity,strong,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
nutrition,strong,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
fitness & exercise,strong,VACATED,,24392426,24392426,Nothing worse than a bad day gym day😂😩 #fitness #gym #viral #youtubeshorts #youtubeviral #skits,Brodie Falgoust,2560000,2024-01-11,1,1,1.0,0,US,this will be worse than a in
longevity,strong,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
mental health,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
sleep,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
medicine,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
AI & machine learning,strong,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
software engineering,strong,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
consumer tech,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
cybersecurity,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
space,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
history,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
military history,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
science,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
psychology,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
philosophy,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
true crime,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
geography,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
engineering & how-things-work,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
aviation,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
maritime,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
disasters,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
parenting,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
relationships,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
self-improvement,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
travel,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
food & cooking,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
fashion & beauty,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
home & DIY,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
cars & automotive,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
pets,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
gardening,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
gaming,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
sports,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
football (soccer),general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
basketball,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
movies & TV,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
music,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
anime,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
celebrity,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
comics & superheroes,general,FREE,,0,0,,,,,0,14,0,0,US,this will be worse than a in
