market,competence,verdict,per_video,median_views,best_views,best_title,best_channel,best_subs,latest,n_matches,n_results,median_runtime_min,reachable_hits,region,query
personal finance,expert,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
investing & stock market,expert,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
retirement planning,expert,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
insurance,expert,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
real estate,expert,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
economics,expert,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
accounting,expert,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
taxes,strong,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
credit & debt,strong,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
banking,strong,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
crypto,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
business strategy,expert,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
management & leadership,expert,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
entrepreneurship,expert,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
marketing,expert,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
B2B & SaaS,expert,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
information systems,expert,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
supply chain,strong,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
sales,strong,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
careers & jobs,strong,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
higher education,expert,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
productivity,strong,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
nutrition,strong,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
fitness & exercise,strong,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
longevity,strong,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
mental health,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
sleep,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
medicine,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
AI & machine learning,strong,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
software engineering,strong,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
consumer tech,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
cybersecurity,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
space,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
history,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
military history,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
science,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
psychology,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
philosophy,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
true crime,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
geography,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
engineering & how-things-work,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
aviation,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
maritime,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
disasters,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
parenting,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
relationships,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
self-improvement,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
travel,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
food & cooking,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
fashion & beauty,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
home & DIY,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
cars & automotive,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
pets,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
gardening,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
gaming,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
sports,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
football (soccer),general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
basketball,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
movies & TV,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
music,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
anime,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
celebrity,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
comics & superheroes,general,UNPROVEN,,0,0,,,,,0,0,0,0,US,this will be worse than a in
