outlier,views,subs,channel,found_via,ai_hint,published,evergreen,title,url
15.34,165669,10800,TikTok Heartbreaks,adjacent,-,2026-08-31,maybe,Why Women Regret Making Their Lifestyle Too Expensive,https://www.youtube.com/watch?v=RElNWhQP75s
5.66,12178,2150,Unplanned and Unprepared,ai-native,term,2026-09-02,maybe,life after AI took my job #2,https://www.youtube.com/watch?v=qiME9vTdfbE
5.48,11779,2150,Unplanned and Unprepared,ai-native,term,2026-09-08,maybe,"No Degree, No Interview | Life After AI Took My Job",https://www.youtube.com/watch?v=NVJ8TFxudl8
3.92,8432,2150,Unplanned and Unprepared,ai-native,term,2026-09-09,maybe,3 weeks unemployed after losing my job to AI,https://www.youtube.com/watch?v=vvlHiL1ECpE
3.45,7421,2150,Unplanned and Unprepared,ai-native,-,2026-08-30,maybe,the interview that never happened.,https://www.youtube.com/watch?v=YI5QSTqeb9E
3.36,85589,25500,Raghulan's Insights,ai-native,-,2026-09-08,maybe,NO MORE CAB DRIVERS? ELON MUSK’S PLAN 🤖 | Taxi | Job | Work #business,https://www.youtube.com/watch?v=ygbyIbVZ_z4
3.3,7101,2150,Unplanned and Unprepared,ai-native,term,2026-08-31,maybe,"AI took my tech job, so I'm trying movies",https://www.youtube.com/watch?v=eyEc7xLtBgM
3.29,7075,2150,Unplanned and Unprepared,ai-native,term,2026-09-04,maybe,life after AI took my job #3,https://www.youtube.com/watch?v=FKjk9w4YFvg
3.25,393386,121000,AI Upload,ai-native,term,2026-09-04,maybe,"AI Whistleblower WARNS: ""They Are Hiding What's Coming""",https://www.youtube.com/watch?v=zqCGxY1Ea8k
3.14,6758,2150,Unplanned and Unprepared,ai-native,-,2026-09-01,maybe,the interview that never happened… again,https://www.youtube.com/watch?v=HM9lfQPDFKU
