channelTitle,handle,niche,mainCategory,country,subscriberCount,avgViews,estimatedEarnings,isFaceless,publishedAt,_band,_cad,_cad_src,_dur,_usd_video,_peer,_peer_label,_mult,_per_sub,_rpm,_views30,_warnings
Hypo Clasher,@hypoclasher,Gaming,Video game culture,IN,180000,107707.59381443298,29726.87,,2020-03-20T05:26:33Z,80k-300k,4.0,30d,263.0,7431.7175,21.34714285714286,ALL/80k-300k,348.1364016596399,0.5983755211912943,,,"rpm-uncheckable,thin-peer-group"
Erhan Boraer,@erhanboraer,Music Production,Electronic music,TR,100000,1598694.2653061224,3162.15,,2013-04-01T23:00:45Z,80k-300k,1.0,30d,215.0,3162.15,21.34714285714286,ALL/80k-300k,148.1298935956635,15.986942653061224,0.22884413862578448,,"cadence<=1,low-value-audience($0.23rpm),thin-peer-group"
The Raining Bedroom ,@theraining.bedroom,Relaxation & Ambient Soundscapes,Pet,US,6000,35220.338983050846,2770.72,True,2025-10-08T15:42:07Z,1k-10k,6.0,30d,1037.0,461.78666666666663,7.486785714285714,ALL/1k-10k,61.68023024694302,5.870056497175141,,,"rpm-uncheckable,thin-peer-group"
ThinkMan,@certifiedthought,Anthropology,Knowledge,US,16400,51680.42857142857,3563.02,,2022-08-08T05:36:14Z,10k-30k,7.0,30d,1044.4285714285713,509.0028571428571,9.056000000000001,Knowledge/10k-30k,56.20614588591619,3.151245644599303,,,rpm-uncheckable
Joel Hansen Raw,@joelhansenraw,Competitive Eating,Lifestyle (sociology),,180000,166234.12,1763.44,,2022-11-13T16:12:44Z,80k-300k,4.0,30d,2027.25,440.86,7.8511188811188815,Lifestyle (sociology)/80k-300k,56.15250598997069,0.9235228888888889,2.6511715314475577,,
Lex AI,@lexai01,AI Tools,Knowledge,GB,218000,53150.476744186046,12666.13,False,2023-11-27T13:34:44Z,80k-300k,12.0,30d,388.0,1055.5108333333333,21.34714285714286,ALL/80k-300k,49.44506346338307,0.24380952634947728,3.393067241298021,,thin-peer-group
Des Rocs - Topic,,Rock Music,Independent music,,12000,204952.3982300885,344.77,,2018-03-09T11:31:14Z,10k-30k,1.0,30d,222.0,344.77,7.706666666666667,ALL/10k-30k,44.73659169550172,17.07936651917404,0.9250330685168937,,"cadence<=1,low-value-audience($0.93rpm),thin-peer-group"
Andrey Deych,@andreydeych,Personal Development,Knowledge,IL,44600,212231.14583333334,2684.99,,2014-02-27T06:11:08Z,30k-80k,2.0,30d,164.625,1342.495,33.52,ALL/30k-80k,40.05056682577565,4.758545870702541,,,"rpm-uncheckable,thin-peer-group"
Hindi Story Hub,@hindistoryhubtv,Storytelling,Television program,IN,20800,628727.6363636364,1767.71,,2025-11-12T09:22:21Z,10k-30k,7.0,30d,1555.4285714285713,252.53,7.706666666666667,ALL/10k-30k,32.76773356401384,30.22729020979021,,,"rpm-uncheckable,thin-peer-group"
Aménager Son Jardin,@amenagersonjardin,Landscaping,Lifestyle (sociology),FR,100000,45715.17616580311,396.76,,2018-04-11T11:15:07Z,80k-300k,2.0,30d,737.0,198.38,7.8511188811188815,Lifestyle (sociology)/80k-300k,25.26773610282263,0.4571517616580311,2.481673296805024,,
DX,@dxfromyt,Gaming,Role-playing video game,US,180000,125904.46614583333,1019.6,True,2011-05-17T00:28:43Z,80k-300k,2.0,30d,1046.5,509.8,21.34714285714286,ALL/80k-300k,23.881416047647726,0.6994692563657408,3.842921162826635,,thin-peer-group
Vibhor Cooking Oils,@vibhorcookingoils,Cooking,Lifestyle (sociology),,27100,501631.7444444444,3128.8,,2024-04-08T11:08:48Z,10k-30k,8.0,30d,67.0,391.1,17.034,Lifestyle (sociology)/10k-30k,22.95996242808501,18.51039647396474,,,rpm-uncheckable
Mast Creation,@mastcreationofficial,Indian Music Videos,Pop music,IN,6000,55989.857142857145,169.61,,2023-11-06T02:34:58Z,1k-10k,1.0,30d,241.0,169.61,7.486785714285714,ALL/1k-10k,22.654581882364166,9.331642857142857,0.6588791944744428,,"cadence<=1,low-value-audience($0.66rpm),thin-peer-group"
Black Mamba Records,@officialblackmambarecords,Music,Hip hop music,CA,100000,784398.1904761905,466.5,True,2019-10-03T23:40:25Z,80k-300k,1.0,30d,168.0,466.5,21.34714285714286,ALL/80k-300k,21.853041557920093,7.843981904761906,0.5599836746452836,,"cadence<=1,low-value-audience($0.56rpm),thin-peer-group"
まめごとわたし / mamego and me,@mamegogo5,Pets,Pet,JP,25000,49640.93700787402,601,,2024-01-01T05:19:26Z,10k-30k,4.0,30d,536.25,150.25,7.706666666666667,ALL/10k-30k,19.496107266435985,1.9856374803149608,1.6349426137862932,,thin-peer-group
現代の粘土ハブ,@ピンキークレイハブ,Clay Art,Hobby,IN,66600,2780537.092592593,4423.69,,2024-09-15T04:07:36Z,30k-80k,12.0,30d,0.0,368.6408333333333,33.52,ALL/30k-80k,10.997638225934764,41.74980619508398,,,"no-runtime,rpm-uncheckable,thin-peer-group"
Dandi Andriyatna,@dandiandriyatna23,Relaxation Music,Action game,ID,101000,180564.66666666666,183.19,False,2024-07-15T03:01:21Z,80k-300k,1.0,30d,2506.0,183.19,21.34714285714286,ALL/80k-300k,8.581476276517432,1.7877689768976897,,,"cadence<=1,rpm-uncheckable,thin-peer-group"
Mese Show,@meseshow,Entertainment,Television program,US,180000,38627.88617886179,902.54,False,2022-10-01T16:07:06Z,80k-300k,5.0,30d,2503.4,180.50799999999998,21.34714285714286,ALL/80k-300k,8.455838854313054,0.21459936766034327,0.8982052614084428,,"low-value-audience($0.90rpm),thin-peer-group"
Fastay,@fastay8658,Sim Racing & Car Games,Racing video game,FR,180000,260261.68987341772,176.35,,2020-02-03T18:20:44Z,80k-300k,1.0,30d,584.0,176.35,21.34714285714286,ALL/80k-300k,8.261058689687477,1.445898277074543,2.7489828685445277,,"cadence<=1,thin-peer-group"
Professor Clawson,@professorclawson,Animal Education,Knowledge,BR,100000,155073.54545454544,1745.26,,2025-10-22T17:57:01Z,80k-300k,10.0,30d,760.9,174.526,21.34714285714286,ALL/80k-300k,8.175613999866158,1.5507354545454544,1.9232129731969396,,thin-peer-group
