channelTitle,handle,niche,mainCategory,country,subscriberCount,avgViews,estimatedEarnings,isFaceless,publishedAt,_band,_cad,_cad_src,_dur,_usd_video,_peer,_peer_label,_mult,_per_sub,_rpm,_views30,_warnings
Patrol Pro,@patrolpros,Police Footage Analysis,Knowledge,US,10700,228595.36363636365,11696.94,True,2026-01-15T09:01:09Z,10k-30k,3.0,30d,1140.6666666666667,3898.98,31.273000000000003,ALL/10k-30k,124.67559875931313,21.364052676295668,,0.0,"rpm-uncheckable,thin-peer-group"
Uzbek Music Lyrics,@uzbek_music_lyrics,Music Lyrics,Music,US,12000,405240.13333333336,1945.8,True,2024-07-17T17:29:00Z,10k-30k,1.0,30d,211.0,1945.8,16.969285714285714,Music/10k-30k,114.66599318095719,33.77001111111111,0.5389990374027881,3610025.0,cadence<=1
Marvin Bona,@marvinbona-p4p,Music,Pop music,US,5150,67284.05084745762,4909.2,True,2013-05-26T14:32:29Z,1k-10k,2.0,30d,244.0,2454.6,44.17,ALL/1k-10k,55.57165496943627,13.06486424222478,,0.0,"rpm-uncheckable,thin-peer-group"
TierlistMan39,@tierlistman39,Internet Culture Commentary,Entertainment,US,25000,81067.69444444444,1688.91,True,2026-01-19T05:03:24Z,10k-30k,4.0,30d,763.25,422.2275,10.654715909090909,Entertainment/10k-30k,39.62822693749567,3.2427077777777775,,0.0,rpm-uncheckable
Toonshi シ,@cartoonshi,Film & Animation Analysis,Film,GB,299000,379903.5440414508,2297.55,True,2015-11-27T08:02:54Z,80k-300k,1.0,30d,633.0,2297.55,59.0725,ALL/80k-300k,38.89373227813281,1.2705804148543505,2.3093902437798595,994873.0,"cadence<=1,thin-peer-group"
Johnson's Small Engines,@johnsonssmallengines,Small Engine Repair & Maintenance,Lifestyle (sociology),US,100000,65394.373101952275,2687.9,True,2014-12-24T15:07:44Z,80k-300k,3.0,30d,746.0,895.9666666666667,23.103333333333335,Lifestyle (sociology)/80k-300k,38.780839705670175,0.6539437310195227,4.216234361078694,637512.0,
Poyst in,@poystin,Gaming,Video game culture,US,242000,17223776.75,949.97,True,2020-09-13T06:34:59Z,80k-300k,1.0,30d,0.0,949.97,25.67559523809524,Video game culture/80k-300k,36.998947490437,71.1726311983471,,0.0,"cadence<=1,no-runtime,rpm-uncheckable"
Superasker,@superasker,Minecraft Animation,Role-playing video game,US,209000,1034092.1923076923,1972.92,True,2024-09-16T16:36:03Z,80k-300k,1.0,30d,0.0,1972.92,56.027,Role-playing video game/80k-300k,35.2137362343156,4.94780953257269,0.0816828762481157,24153410.0,"cadence<=1,no-runtime,rpm-low(0.08)"
Only_A_Squid,@onlyasquid,Minecraft Gaming,Action-adventure game,US,299000,326979,4746.61,True,2020-10-08T23:45:43Z,80k-300k,1.0,30d,3300.0,4746.61,141.30575,Action-adventure game/80k-300k,33.591060519476386,1.0935752508361205,3.7665977614397885,1260185.0,cadence<=1
Football Magic,@footballmagic-i9y,Football,Association football,GB,42400,206996.38461538462,7481.32,True,2020-09-04T13:14:41Z,30k-80k,3.0,30d,1788.0,2493.773333333333,74.25727272727273,ALL/30k-80k,33.58288342331533,4.881990203193034,,0.0,"rpm-uncheckable,thin-peer-group"
