channelTitle,handle,niche,subNiches,mainCategory,nicheConfidence,subscriberCount,avgViews,viewCount,videoCount,estimatedEarnings,country,languages,isFaceless,channelType,breakoutChannel,publishedAt,lastVideoPublished,channelId,longAvgDuration30d,longAvgDuration1y,shortAvgDuration30d,longVideoCount30d,shortVideoCount30d,longViewCount30d,shortViewCount30d,subsGrowth30d,viewsGrowth30d,_per_video,_lifetime,_age_days,_vids_per_mo,_usd_per_video
ROHIT LIVE 57,@funy_rj,Competitive Exam Preparation,"['UPSC Exam Preparation', 'Interview Preparation', 'General Knowledge']",Lifestyle (sociology),0.800000011920929,15500,7757301,7757301,1,165.15,,hi,,,True,2025-08-02T07:50:26Z,2026-08-04T00:00:00.000Z,UCFzETX3QMdViz3prR83xHRQ,,,23.571428571428573,0,21,,,9.93,499.61,500.4710322580645,500.4710322580645,371,0.08086253369272237,330.3
Rebrn Music,@rebrnmusic,Electronic Music Performance,"['DJ Sets', 'Live Music']",Electronic music,0.8500000238418579,6000,1577554.8,7887774,5,14.66,,en,,long,False,2021-10-27T15:24:21Z,2026-07-29T00:00:00.000Z,UCFt_emwmRxc1oKsTjbZh2UA,,5948,16,0,1,94898,4,0.33,1.22,262.9258,1314.629,1746,0.0859106529209622,29.32
Fullstack Shivani,@fullstackshivani,Tech Comedy,"['Software Engineering Humor', 'Corporate Office Life', 'Developer Workplace Culture']",Humour,0.949999988079071,3000,688315.4615384615,17896202,26,,IN,"en, hi",,,True,2023-03-08T17:39:33Z,2026-08-05T00:00:00.000Z,UCdzfO7A0p-CG4gSCggF7o7g,,,29,0,19,,,123.88,51.28,229.43848717948717,5965.400666666666,1248,0.625,0.0
🎀Tweets_FOFo 🎀,@fati_fofo28,General Entertainment,['Personal Vlogging'],,0.8999999761581421,1290,228306.8,1141534,5,,,ar,,,True,2024-08-20T11:11:22Z,2026-08-05T00:00:00.000Z,UCVpg9rK-UaUcNxgblCvSznA,,707,21.68421052631579,0,19,,,59.46,496.85,176.98201550387597,884.9100775193798,718,0.20891364902506965,0.0
입덕브리핑,@ipdeokbr,K-Pop Entertainment,"['K-Pop Highlights & Edits', 'K-Pop Idol Commentary']",Music,0.9800000190734864,6000,937428.4444444445,134989696,144,81.5,KR,ko,,,False,2025-07-01T19:22:56Z,2026-07-30T00:00:00.000Z,UCnWsqCfwBE6tVWF17hpisJQ,,,36,0,1,,,2.56,5.14,156.2380740740741,22498.282666666666,402,10.746268656716417,7.584027777777778
MR.DHATT - Topic,,Music,"['Pop Music', 'Indian Pop', 'Punjabi Music']",Music,0.9800000190734864,3000,403790.4117647059,13728874,34,,,"en, pa",,long,False,2020-12-05T03:00:25Z,2026-07-23T00:00:00.000Z,UCwAY0ASYTpa9iDDPJczWB9g,166.75,152.875,,4,0,284255,0,-0.33,2.11,134.59680392156864,4576.291333333334,2072,0.4922779922779923,0.0
NARUTO S4K,@narutos4k,Comedy,"['Indian Television', 'Comedy Clips', 'Celebrity Highlights']",Television program,0.949999988079071,2930,351758.46428571426,9849237,28,,,"hi, en",,,True,2025-09-26T11:58:14Z,2026-08-05T00:00:00.000Z,UCVzE9A4Cr0Rlwun9FKTzrjQ,63,63,53.55555555555556,0,18,,,477.91,337.27,120.0540833739639,3361.51433447099,316,2.6582278481012658,0.0
okftbl,@okftbl,Association Football Content,"['Football Edits', 'World Cup Coverage', 'Club Soccer & Competitions']",Sport,0.949999988079071,2810,320662.64864864864,11864518,37,,,en,,,True,2025-03-29T13:30:39Z,2026-08-06T00:00:00.000Z,UC14V6Bb5deZkv2z07_zJcSw,,,11.571428571428571,0,42,,,142.24,499.22,114.11482158314898,4222.248398576512,497,2.233400402414487,0.0
jaybug,@jaybugx,Miraculous Ladybug Fan Content,['Miraculous Ladybug'],Entertainment,0.949999988079071,12000,1176094.9166666667,14113139,12,12.35,,en,,,True,2021-12-27T22:39:32Z,2026-08-04T00:00:00.000Z,UCAM0eHlPnFiReZwf3__BKFA,,,20.25,0,12,,,474.16,-93.04,98.00790972222222,1176.0949166666667,1684,0.21377672209026127,24.7
raabenb,@raabenb,Travel,"['South Korea Travel', 'Cultural Travel']",Lifestyle (sociology),0.8999999761581421,3000,253825.87878787878,8376254,33,,,en,,,False,2006-07-08T17:41:14Z,2026-07-24T00:00:00.000Z,UCN95yv8FLlLo3_H8Mn5nRHQ,797,868,,1,0,,,0,0.01,84.60862626262626,2792.0846666666666,7335,0.13496932515337423,0.0
