channelTitle,handle,niche,subNiches,mainCategory,nicheConfidence,subscriberCount,avgViews,viewCount,videoCount,estimatedEarnings,country,languages,isFaceless,channelType,breakoutChannel,publishedAt,lastVideoPublished,channelId,longAvgDuration30d,longAvgDuration1y,shortAvgDuration30d,longVideoCount30d,shortVideoCount30d,longViewCount30d,shortViewCount30d,subsGrowth30d,viewsGrowth30d,_per_video,_lifetime,_age_days,_vids_per_mo,_usd_per_video
Uzbek_k,@nobody_nn-o9b,Comedy,"['Sketch Comedy', 'Humor']",Entertainment,0.8999999761581421,1570,1029374.8333333334,6176249,6,,US,uz,True,,True,2024-12-22T19:20:25Z,2026-07-23T00:00:00.000Z,UCp8Vwi4Y3MvqJJAWeghNeNg,,,18,0,3,,,361.76,271.33,655.6527600849257,3933.916560509554,593,0.30354131534569984,0.0
Visualora,@visualora076,Creative Process,"['Vehicle Restoration', 'Topiary Art']",Entertainment,0.8999999761581421,25000,3317711.4,16588557,5,4.74,NP,en,True,,True,2026-01-05T16:22:17Z,2026-08-02T00:00:00.000Z,UCq8usUGSi8iOIalmh66Kn4Q,,,31.5,0,4,,,95.31,11.35,132.70845599999998,663.54228,214,0.7009345794392523,6.7624
Dankzys,@dankzys,Memes,"['Meme Editing', 'Internet Culture', 'Gaming Memes']",Entertainment,0.949999988079071,46100,4074582.882352941,207803727,51,7891.35,US,en,True,,True,2025-08-14T15:52:17Z,2026-08-06T00:00:00.000Z,UCYdy0PQlMegcetnjpdbD6Sw,,,9.966666666666667,0,30,,,132.83,310.05,88.38574582110502,4507.673036876356,358,4.273743016759776,1846.4727450980395
Angel Ocean ,@angelocean1,Comedy,"['Mom Life', 'Toddler Parenting', 'Humor', 'Ukrainian Language Content']",Lifestyle (sociology),0.8999999761581421,33100,2629508.5263157897,49960662,19,1593.97,US,"en, uk",True,,True,2025-08-08T15:21:45Z,2026-08-03T00:00:00.000Z,UCAqTcCqgSYoP7REgPmrwg1Q,62.5,67.28571428571429,25.695652173913043,0,23,,,262.14,223.23,79.4413452059151,1509.3855589123866,365,1.5616438356164384,1020.7000877192983
Bet You Missed,@betyoumissed,Gaming,"['Gaming Discoveries', 'Gaming Lore', 'Action-adventure Gaming']",Action game,0.8999999761581421,34700,2615403.7391304346,60154286,23,3320.85,GB,en,True,,True,2025-02-08T20:08:51Z,2026-08-03T00:00:00.000Z,UCoozHQK66bywxgYeFTbAGSQ,77,77,48.81818181818182,1,11,,,201.74,320.31,75.37186568099236,1733.5529106628242,545,1.2660550458715596,2622.990217391304
Poyst in,@poystin,Gaming,"['Roblox Gaming', 'K-pop Themed Content', 'Short-form Skits']",Video game culture,0.800000011920929,242000,17223776.75,68895107,4,949.97,US,"en, zh",True,,True,2020-09-13T06:34:59Z,2026-07-22T00:00:00.000Z,UCYCuJ5Js9HmAexolmmXyY8A,,,49,0,1,,,55.13,95.99,71.1726311983471,284.6905247933884,2155,0.055684454756380515,1899.94
MUSOFR😘,@musofir-bz7th,Lifestyle,['Vlogging'],Lifestyle (sociology),0.4000000059604645,2990,206917.42307692306,5379853,26,,US,uz,True,,True,2024-03-26T03:33:38Z,2026-07-12T00:00:00.000Z,UCBH5fIhc8TaPRIdnCTVREqA,250,250,28,0,1,,,23.55,30.23,69.2031515307435,1799.2819397993312,865,0.9017341040462428,0.0
Snarky,@its_snarky,Meme Compilation,"['Internet Humor', 'Comedy Clips']",Film,0.949999988079071,1680,110871.59689922481,14302436,129,,US,en,True,,True,2025-09-21T17:00:08Z,2026-08-06T00:00:00.000Z,UCDocf0jUUoa3StTt-R_IpfA,,,6.2,0,30,,,369.27,298.17,65.99499815430048,8513.354761904762,320,12.09375,0.0
AminMMA,@aminlabmma,Mixed Martial Arts (MMA),"['MMA Fight Analysis', 'MMA Fighter Highlights', 'UFC Content']",Mixed martial arts,1,2980,178446.1219512195,7316291,41,,CA,en,True,,True,2017-03-11T14:16:20Z,2026-07-31T00:00:00.000Z,UCrwXHLOisvSDy8Fi8HLj0BQ,81,81,56.92307692307692,0,13,,,42.58,39.58,59.881248976919295,2455.1312080536914,3437,0.357870235670643,0.0
ANNA RESTORES,@treasurepulseofficial,Conceptual Home Design,"['AI Architectural Visualization', 'Luxury Home Transformations', 'Before & After Design Concepts']",Hobby,0.949999988079071,100000,5856065,17568195,3,0,US,en,True,,False,2026-02-05T04:46:13Z,2026-07-13T00:00:00.000Z,UCESZ097dFOG3jz-MqdRCc0Q,530,1099.6923076923076,,1,0,,,0,-1.19,58.56065,175.68195,184,0.48913043478260865,0.0
