channelTitle,handle,niche,mainCategory,subscriberCount,avgViews,viewCount,videoCount,estimatedEarnings,country,isFaceless,channelType,publishedAt,lastVideoPublished,channelId,_per_video,_lifetime,_age_days,_vids_per_mo
Uzbek_k,@nobody_nn-o9b,Comedy,Entertainment,1570,1029374.8333333334,6176249,6,,US,True,,2024-12-22T19:20:25Z,2026-07-23T00:00:00.000Z,UCp8Vwi4Y3MvqJJAWeghNeNg,655.6527600849257,3933.916560509554,593,0.30354131534569984
Visualora,@visualora076,Creative Process,Entertainment,25000,3317711.4,16588557,5,4.74,NP,True,,2026-01-05T16:22:17Z,2026-08-02T00:00:00.000Z,UCq8usUGSi8iOIalmh66Kn4Q,132.70845599999998,663.54228,214,0.7009345794392523
Angel Ocean ,@angelocean1,Comedy,Lifestyle (sociology),33100,2629508.5263157897,49960662,19,1593.97,US,True,,2025-08-08T15:21:45Z,2026-08-03T00:00:00.000Z,UCAqTcCqgSYoP7REgPmrwg1Q,79.4413452059151,1509.3855589123866,364,1.565934065934066
Poyst in,@poystin,Gaming,Video game culture,242000,17223776.75,68895107,4,949.97,US,True,,2020-09-13T06:34:59Z,2026-07-22T00:00:00.000Z,UCYCuJ5Js9HmAexolmmXyY8A,71.1726311983471,284.6905247933884,2155,0.055684454756380515
MUSOFR😘,@musofir-bz7th,Lifestyle,Lifestyle (sociology),2990,206917.42307692306,5379853,26,,US,True,,2024-03-26T03:33:38Z,2026-07-12T00:00:00.000Z,UCBH5fIhc8TaPRIdnCTVREqA,69.2031515307435,1799.2819397993312,865,0.9017341040462428
Snarky,@its_snarky,Meme Compilation,Film,1680,110871.59689922481,14302436,129,,US,True,,2025-09-21T17:00:08Z,2026-08-06T00:00:00.000Z,UCDocf0jUUoa3StTt-R_IpfA,65.99499815430048,8513.354761904762,320,12.09375
AminMMA,@aminlabmma,Mixed Martial Arts (MMA),Mixed martial arts,2980,178446.1219512195,7316291,41,,CA,True,,2017-03-11T14:16:20Z,2026-07-31T00:00:00.000Z,UCrwXHLOisvSDy8Fi8HLj0BQ,59.881248976919295,2455.1312080536914,3436,0.35797438882421423
ANNA RESTORES,@treasurepulseofficial,Conceptual Home Design,Hobby,100000,5856065,17568195,3,0,US,True,,2026-02-05T04:46:13Z,2026-07-13T00:00:00.000Z,UCESZ097dFOG3jz-MqdRCc0Q,58.56065,175.68195,184,0.48913043478260865
𝙏𝙊𝙎𝙃𝙄𝙆𝙄⚡,@tigernation-o9d,General Entertainment,Entertainment,3820,198692,198692,1,,US,True,,2023-03-19T21:47:41Z,2026-08-03T00:00:00.000Z,UCOz9dZzzp8LZezQbtz54WKA,52.01361256544503,52.01361256544503,1237,0.024252223120452707
OliveFuns,@olivefuns,Humor,Entertainment,3000,135521.97872340426,12739066,94,,US,True,,2025-12-09T22:30:22Z,2026-08-05T00:00:00.000Z,UCNc0abt0p04v34BDfk7viEA,45.17399290780142,4246.355333333333,241,11.701244813278008
littlerobloxboy,@littlerobloxboy,Fan Animation,Role-playing video game,1360,60238.8125,963821,16,,CA,True,,2018-02-02T19:21:58Z,2026-08-02T00:00:00.000Z,UCwIK0X4qEXPz3kBid25Vbow,44.29324448529412,708.6919117647059,3108,0.15444015444015444
DACHU BGM,@dachubgm,Video Game Animation & Machinima,Film,10100,396879.74358974356,15478310,39,,US,True,,2023-05-25T13:43:11Z,2026-08-05T00:00:00.000Z,UCPfAZzPKv5fs2sSnstuxwTg,39.295024117796395,1532.5059405940594,1170,1.0
Mike Italian,@mikeitalian,Automotive,Lifestyle (sociology),5970,230912.81132075473,12238379,53,180.88,US,True,long,2013-07-31T03:17:09Z,2026-07-12T00:00:00.000Z,UC06O0dam5ydIOq8uszK1Ppg,38.67886286779811,2049.9797319933,4756,0.3343145500420521
CFM Tools,@cfmtools,Everyday Carry Tools,Hobby,1130,42679.2,1280376,30,,US,True,,2022-07-21T06:15:39Z,2026-08-06T00:00:00.000Z,UC3O9WmVXUxVnCfQsu6FWFlA,37.769203539823,1133.0761061946903,1479,0.6085192697768763
Скроллинг,@scrolling_on,History,Society,12000,443484.42553191487,125062608,282,692.54,US,True,,2007-08-24T11:06:12Z,2026-08-04T00:00:00.000Z,UCBJCFQQB18iW57AfEDcjXkg,36.957035460992905,10421.884,6924,1.2218370883882148
Novamida,@novamida4u,Comedy,Entertainment,25400,935550.4375,14968807,16,666.27,US,True,,2025-03-30T12:25:40Z,2026-08-06T00:00:00.000Z,UCZK2NbqaBJR5xSH0BeNTscw,36.83269438976378,589.3231102362205,496,0.9677419354838709
Kleyron,@kleyron,Roblox Gameplay,Casual game,2630,92381.31034482758,2679058,29,,US,True,,2021-03-05T10:00:31Z,2026-08-05T00:00:00.000Z,UCSTKjx46EPBQc86jppuC-9Q,35.12597351514356,1018.6532319391634,1982,0.4389505549949546
JogoGoalitos,@jogogoalitos,Football,Sports game,4000,136395.75438596492,7774558,57,,US,True,,2014-01-28T15:02:14Z,2026-08-06T00:00:00.000Z,UC-vUoCn1MSbBEKVXc4aRRGQ,34.09893859649123,1943.6395,4574,0.37385220813292525
Uzbek Music Lyrics,@uzbek_music_lyrics,Music Lyrics,Music,12000,405240.13333333336,18235806,45,1945.8,US,True,long,2024-07-17T17:29:00Z,2026-07-25T00:00:00.000Z,UCmFUkVurliuyqXdk2Vq7jbg,33.77001111111111,1519.6505,751,1.7976031957390146
ScreenInsight,@tranloan3439,TV Show Clips,Humour,25000,843636.4639175257,163665474,194,3093.82,US,True,,2016-10-30T01:53:53Z,2026-08-06T00:00:00.000Z,UC0ldvoXB9PIAgVv78sWkLwQ,33.74545855670103,6546.61896,3569,1.630708882039787
FastCurious,@fastcurious-l2x,Athletic Stunts & Skill Challenges,Entertainment,25800,837575,23452100,28,809.39,US,True,,2020-07-12T21:15:40Z,2026-07-28T00:00:00.000Z,UC1sQlBRF8fBO2Se4par_MAw,32.46414728682171,908.9961240310078,2217,0.37889039242219213
Lorem TV,@lorem_tv22,History,Entertainment,54300,1737872.9263157896,495293784,285,11213.06,US,True,,2020-09-14T12:38:20Z,2026-08-06T00:00:00.000Z,UChM_EGeGbBbt1uZ0onpMQTQ,32.005026267325775,9121.432486187845,2154,3.969359331476323
harviexplores,@harviexplores,Travel,Entertainment,5080,162426.8923076923,10557748,65,227.93,GB,True,,2025-10-25T13:36:36Z,2026-08-04T00:00:00.000Z,UCqhKspaj8Dnz56ohPdp5Jnw,31.973797698364624,2078.296850393701,287,6.7944250871080145
adventre fun,@adventure_fails,Viral Comedy Content,Vehicle,11400,360904.69696969696,11909855,33,312.73,US,True,,2023-01-04T18:56:58Z,2026-08-05T00:00:00.000Z,UCZ8uHtNDIcNiDLKmoJpBPtg,31.658306751727803,1044.7241228070175,1311,0.7551487414187642
Laugh Byte,@rajasheek2739,TV Show Clips,Television program,25000,788973.4,142015212,180,1214.52,US,True,,2017-07-20T21:54:09Z,2026-08-06T00:00:00.000Z,UCGZ5yT7rKC2xgUnXvmKTnCQ,31.558936,5680.60848,3305,1.6338880484114977
Sir Suchi & Mochi,@sirsuchicatt,Pet Lifestyle,Entertainment,2990,92863.36440677966,10957877,118,,GB,True,short,2025-06-03T12:38:56Z,2026-07-24T00:00:00.000Z,UCIJlch3BgDQOEFSKnaSngDQ,31.057981406949718,3664.841806020067,431,8.213457076566126
StreamBen,@streambenn,Streamer Commentary,Sport,41100,1273501.3793103448,36931540,29,2246.43,US,True,short,2023-07-26T10:29:31Z,2026-08-04T00:00:00.000Z,UCjKC8RmWQwtYRESH4C5PL_g,30.98543501971642,898.5776155717762,1109,0.7844905320108205
Mr. Drunk,@mrdrunky,Minecraft Mod Showcase,Role-playing video game,1230,38043.7037037037,1027180,27,,GB,True,,2020-06-09T15:14:19Z,2026-07-29T00:00:00.000Z,UCbDxtnDto7gcO3LP2XOqWRg,30.929840409515204,835.1056910569106,2250,0.36
FlickEsmay88,@siurftum3258,Entertainment,Sport,1510,46113.71428571428,1613980,35,,US,True,,2019-12-24T08:35:33Z,2026-08-05T00:00:00.000Z,UCHliNvVtRt2ryzF4GmeFfJQ,30.538883632923365,1068.8609271523178,2419,0.434063662670525
 Wren-2,@wren-2,Pop Culture Trend Commentary,Hobby,9810,293735.23728813557,17330379,59,441.64,US,True,,2019-01-14T00:34:51Z,2026-08-06T00:00:00.000Z,UCg7L0GQvNpc3z98uUfHYd9A,29.942429896853778,1766.6033639143732,2763,0.6406080347448426
ViralDecoded,@viraldecoded4k,Viral Content Aggregation,Lifestyle (sociology),2990,87136.31578947368,1655590,19,,PH,True,,2020-11-06T01:14:00Z,2026-07-10T00:00:00.000Z,UCpLj-tVQobp4pRwxca1LKeQ,29.142580531596547,553.7090301003344,2101,0.27129938124702524
nilloc,@nilloc_,CS:GO/CS2 Content,Action game,49800,1355387.4140969163,307672943,227,2740.52,US,True,short,2024-04-02T16:33:08Z,2026-08-05T00:00:00.000Z,UCtfXfflsLnwWreJN4KZh7ww,27.216614740901935,6178.171546184739,857,7.9463243873979
Level RUN,@levelrun-j9s,Interactive Fitness,Casual game,1130,30366.5,485864,16,,US,True,,2015-03-27T13:26:24Z,2026-08-06T00:00:00.000Z,UCNGVCa2_Yl8zS7YEnfQVtOA,26.87300884955752,429.96814159292035,4152,0.11560693641618497
FlashRanks,@flash_ranks,Top Lists & Rankings,Pop music,50000,1331520.268292683,54592331,41,18.11,AU,True,,2025-11-25T23:49:32Z,2026-07-31T00:00:00.000Z,UCJX0xWpP3-vt9tO6azCRKlA,26.630405365853658,1091.84662,255,4.823529411764706
Ritim 34,@ritim34,Music,Electronic music,5980,144422.0243902439,5921303,41,244.84,US,True,,2024-10-13T11:35:23Z,2026-08-06T00:00:00.000Z,UC61bKMDtLGa8S2e7iJ97HWg,24.15084019903744,990.1844481605351,664,1.8524096385542168
Vineyardedge,@vineyardedge,Bass Guitar,Lifestyle (sociology),6000,136381.63636363635,3000396,22,1.46,US,True,,2005-12-30T22:20:45Z,2026-08-05T00:00:00.000Z,UC0ebrxXgSzWM2FcH7xWOmIA,22.730272727272727,500.066,7525,0.08770764119601329
xojoyce,@xojoyce,K-Pop,Music of Asia,2990,66097.1744966443,9848479,149,,US,True,short,2025-02-03T21:06:40Z,2026-07-19T00:00:00.000Z,UCoKWMHtvFT66ov95IphmYAg,22.106078426971337,3293.805685618729,550,8.127272727272727
CraftShooter,@craftshooterr,Gaming,Video game culture,5980,129920.47916666667,6236183,48,17.67,US,True,,2025-10-21T16:39:43Z,2026-08-02T00:00:00.000Z,UCsizZbhVvzyTEGNaD-iTc7g,21.725832636566334,1042.839966555184,290,4.9655172413793105
BeckFooty,@beckfooty,Football,Association football,141000,3060477.7027027025,113237675,37,2100.82,US,True,,2024-04-04T12:42:41Z,2026-07-15T00:00:00.000Z,UC7vFxpVIL6HbokkQViGWSRA,21.70551562200498,803.1040780141844,856,1.2967289719626167
The Silliest Ranker,@1sillyranker,Entertainment,Humour,1150,24329.17021276596,1143471,47,,US,True,,2019-01-17T14:46:07Z,2026-08-03T00:00:00.000Z,UCciZ5a8BuQhticZunw7X6HQ,21.155800185013877,994.3226086956522,2759,0.5110547299746285
Mr Top Minecraft,@mrtopminecraft,Minecraft Entertainment,Role-playing video game,299000,6269678.555555556,225708428,36,63.87,US,True,,2019-03-09T16:44:26Z,2026-07-16T00:00:00.000Z,UCbHFRBgRZXc8XUq8iIFVs8w,20.968824600520254,754.8776856187291,2708,0.39881831610044316
Flick Talk,@flicktalk8,Film Recaps,Film,12000,250266.01351351352,18519685,74,145.44,US,True,,2025-09-08T15:40:52Z,2026-08-06T00:00:00.000Z,UC2p7NYyOHwvPv4hzqo9zTMQ,20.855501126126125,1543.3070833333334,333,6.666666666666667
Iron Breach,@ironbreachhistory,Military History Documentaries,Video game culture,5980,122168,488672,4,408.43,GB,True,,2026-01-17T12:01:12Z,2026-07-17T00:00:00.000Z,UCe8yvOzh1pwHVaDu-_iWwVQ,20.42943143812709,81.71772575250836,203,0.5911330049261084
AMT GAMER,@amtgamer4048,Film Scene Recaps,Television program,50000,1021455.104519774,361595107,354,965.6,US,True,short,2017-08-11T14:20:36Z,2026-08-06T00:00:00.000Z,UCSdi-w7TUnlNpTuXtap2zrQ,20.429102090395478,7231.90214,3283,3.234846177276881
Brick Boss,@brickboss648,LEGO Engineering,Hobby,3160,62495.51851851852,1687379,27,,US,True,,2025-06-11T16:05:33Z,2026-08-05T00:00:00.000Z,UC9yIi5GotGfx8EXZ_LlJoLA,19.777062822315987,533.9806962025316,422,1.919431279620853
Sports Sirens,@sports.sirens,Sports Entertainment,Sport,42600,838698.8421052631,47805834,57,949.72,US,True,,2025-05-14T13:34:52Z,2026-08-05T00:00:00.000Z,UCHWxs-hJKyjhzaRo8KbtqxA,19.687766246602422,1122.202676056338,451,3.7915742793791574
Zen,@ofcgameclips,Gaming,Action-adventure game,6000,117638.98936170213,11058065,94,56.95,GB,True,,2020-08-19T20:05:35Z,2026-07-09T00:00:00.000Z,UCMdVhRMevSw_qkLGzn424Yw,19.606498226950354,1843.0108333333333,2179,1.294171638366223
The Final Reveals,@thefinalreveals,Historical Storytelling,Film,14100,266484.9767441861,11458854,43,475.84,US,True,,2026-01-20T10:41:24Z,2026-08-04T00:00:00.000Z,UC_Qie-qv4SP8XnOssw9dv-w,18.899643740722418,812.6846808510638,200,6.449999999999999
Mrzoo,@mrzoo90,Facts & Education,Lifestyle (sociology),3000,56640.6875,7250008,128,,RU,True,,2022-10-14T15:31:43Z,2026-07-16T00:00:00.000Z,UCC6Ge9aBuWX0jBqwd4H4DYA,18.880229166666666,2416.6693333333333,1393,2.756640344580043
FBI Legends,@fbilegends365,Police Drama Shorts,Film,6550,120958.984375,7741375,64,321.45,US,True,,2010-03-20T03:35:24Z,2026-08-05T00:00:00.000Z,UCNP6RbbITDBdzu2XjH3viHA,18.467020515267176,1181.8893129770993,5985,0.3208020050125313
mrminecodes,@mrminecodes,Minecraft Multiplayer Server Content,Role-playing video game,5990,109505.44827586207,12702632,116,4.84,US,True,short,2020-04-25T21:20:38Z,2026-07-23T00:00:00.000Z,UC9hRtz8dpK88QCHk0ZRtDrw,18.281377007656438,2120.639732888147,2295,1.5163398692810457
Flashy Zoy,@flashyzoy,Gaming,Entertainment,2980,54360.638655462186,6468916,119,,US,True,,2025-11-28T11:31:40Z,2026-08-05T00:00:00.000Z,UCG1wXH27KQT1yFAg8My4ulw,18.24182505216852,2170.7771812080537,253,14.110671936758893
freedomyo,@freedom_yo,Anime Editing,Entertainment,3550,63338.09375,2026819,32,,US,True,,2025-06-14T17:10:12Z,2026-08-05T00:00:00.000Z,UCqXXd8e-m3UdTj3GONv2UoA,17.841716549295775,570.9349295774648,419,2.2911694510739857
BloxDuelist,@bloxduelist,Roblox Competitive Gameplay,Role-playing video game,2990,53038.7962962963,2864095,54,,US,True,,2025-09-26T12:34:40Z,2026-08-06T00:00:00.000Z,UCcAGmgmrxIv2Op6iPz2N2jA,17.73872785829308,957.8913043478261,316,5.1265822784810124
Lumbago Gaming,@lumbagogaming,Gaming,Action-adventure game,5970,105296.28936170213,24744628,235,571.54,US,True,short,2024-06-09T17:26:50Z,2026-08-07T00:00:00.000Z,UCzw0jlwj_wlOWDjFrCYVnLg,17.63756940732029,4144.828810720268,789,8.935361216730037
