channelTitle,handle,niche,subNiches,mainCategory,nicheConfidence,subscriberCount,avgViews,viewCount,videoCount,estimatedEarnings,country,languages,isFaceless,channelType,breakoutChannel,publishedAt,lastVideoPublished,channelId,longAvgDuration30d,longAvgDuration1y,shortAvgDuration30d,longVideoCount30d,shortVideoCount30d,longViewCount30d,shortViewCount30d,subsGrowth30d,viewsGrowth30d,_per_video,_lifetime,_age_days,_vids_per_mo,_cadence_src,_usd_per_video,_implied_rpm,_tier1_geo,_runtime_min
BuzzyAnimals TV,@buzzyanimalstv1,Kids' Learning,"['Early Childhood Education', ""Nursery Rhymes & Kids' Songs"", 'Animated Animal Content']",Knowledge,1,3780,278739.4666666667,4181092,15,3077.23,US,en,,,True,2025-11-14T10:58:25Z,2026-08-08T00:00:00.000Z,UC7wsze-qTJfbyML2z2VE2og,674,393.75,17,0,2,,,71.82,373.17,73.74059964726632,1106.1089947089947,270,2.0,30d,1538.615,,True,11.233333333333333
Just Planet,@justplanet_history,Geography,"['Geopolitics', 'World Geography Facts']",Knowledge,0.949999988079071,7430,511719.95454545453,11257839,22,883.7,US,en,,,True,2024-10-27T10:33:54Z,2026-08-05T00:00:00.000Z,UCGNwFqSQiIv0C5xZcQhdgtQ,82,82,69.33333333333333,0,3,,,97.61,185.42,68.87213385537746,1515.1869448183043,653,3.0,30d,294.56666666666666,,True,1.3666666666666667
Civilizations in Motion,@civilizationsinmotion,Historical Documentary,"['Civilization Evolution & History', 'Time-Lapse Historical Mapping']",Knowledge,0.8500000238418579,7440,321191.8333333333,1927151,6,5142.74,US,en,True,,True,2025-02-28T04:16:23Z,2026-07-19T00:00:00.000Z,UCybSFIex2tiuspcoxp2B2PA,989,578.8333333333334,,1,0,,,80.58,77.28,43.17094534050179,259.02567204301073,529,1.0,30d,5142.74,,True,16.483333333333334
CalculusWithCaleb,@calculuswithcaleb,Mathematics Education,['Calculus'],Knowledge,0.8999999761581421,7420,281884,563768,2,1621.26,US,en,,,True,2025-03-04T02:41:47Z,2026-08-03T00:00:00.000Z,UCgc6hgvMSH39ie-qtn1ONiQ,228,228,,1,0,,,67.87,139.04,37.98975741239892,75.97951482479785,525,1.0,30d,1621.26,,True,3.8
MIR I. FILMS,@mirifilms-7,Educational Explainer,"['Dark Facts', 'Survival Stories', 'What-If Scenarios', 'Mysterious Events', 'Educational Animation']",Knowledge,0.8999999761581421,11000,362967.8181818182,11977938,33,308.04,US,en,,,True,2025-03-26T16:04:07Z,2026-08-09T00:00:00.000Z,UCRoJyrJmzq6o8mbOC4vAS-g,,,50.27272727272727,0,11,,,141.23,112.17,32.99707438016529,1088.9034545454545,502,11.0,30d,28.003636363636364,,True,
War Frontline Archive,@warfrontlinearchive,Military History Documentary,"['Vietnam War', 'Military Daily Life', 'Soldier Experiences']",Knowledge,0.949999988079071,3540,92155.27272727272,1013708,11,475.23,US,en,True,long,True,2021-08-31T03:51:02Z,2026-08-08T00:00:00.000Z,UCEiV2y-PLGlloW-lUriaPlQ,1034.4,1040.6363636363637,,5,0,145483,0,23.34,16.76,26.032562917308677,286.3581920903955,1806,5.0,30d,95.046,3.2665672277860645,True,17.240000000000002
Ancient History Lol,@ancienthistorylol22,History,"['Ancient History', 'Historical Figures', 'Military History', 'Reaction Content']",Knowledge,0.8999999761581421,20700,515778.60714285716,28883602,56,628.34,US,en,,,True,2024-08-20T17:46:41Z,2026-08-08T00:00:00.000Z,UCpRXAqBQB31StDocmSzDL3g,,,41.785714285714285,0,14,,,95.28,100.23,24.91684092477571,1395.3430917874396,720,14.0,30d,44.88142857142857,,True,
2Bit,@2bit2b,Science Communication,"['Psychology', 'Futurism', 'Philosophy', 'Cognitive Science', 'Existentialism']",Knowledge,0.949999988079071,1310,31371,439194,14,1044.8,US,en,,,True,2018-10-09T04:24:11Z,2026-08-07T00:00:00.000Z,UCrB9WQxKwh2nrMaATyhPVog,766,487.94117647058823,,4,0,,,32.19,63.21,23.94732824427481,335.26259541984734,2863,4.0,30d,261.2,,True,12.766666666666667
Patrol Pro,@patrolpros,Police Footage Analysis,"['Bodycam Analysis', 'Law Enforcement Encounters', 'Incident Escalation']",Knowledge,0.9800000190734864,11300,221085.25,2653023,12,11261.86,US,en,True,,True,2026-01-15T09:01:09Z,2026-07-30T00:00:00.000Z,UC31vOBMikNGPEx6WFGfUQzg,930.5,1096.6153846153845,,2,0,,,98.25,235.62,19.565066371681414,234.780796460177,208,2.0,30d,5630.93,,True,15.508333333333333
Geography by Revo,@revo_geography,Geography,"['United States Geography', 'Geographical Trivia', 'Educational Facts']",Knowledge,0.949999988079071,1780,33423.57142857143,233965,7,984.17,US,en,,,True,2025-05-13T21:12:44Z,2026-07-31T00:00:00.000Z,UCzmQe8Nn3cRoJgzQn7GR_GQ,1259.5,1354.142857142857,,2,0,,,162.92,223.16,18.77728731942215,131.44101123595505,454,2.0,30d,492.085,,True,20.991666666666667
