anchor,n_videos,n_channels,contested,median_views,best_views,first_seen,last_seen,best_title,best_channel
diamonds,1,1,False,12876491,12876491,2023-03-23,2023-03-23,The shady business of diamonds,Smart Nonsense
porn industry,1,1,False,11452215,11452215,2024-05-03,2024-05-03,"THE EVIL BUSINESS OF ""THE PORN INDUSTRY""",Too Harsh
train robberies,1,1,False,3580370,3580370,2025-02-18,2025-02-18,The Wild Business of Train Robberies,Tommy G
steakhouses,1,1,False,3461521,3461521,2023-02-09,2023-02-09,The Timeless Business of Steakhouses,Modern MBA
beauty dw documentary,1,1,False,2017646,2017646,2023-01-25,2023-01-25,The dirty business of beauty | DW Documentary,DW Documentary
nightclubs,1,1,False,1920736,1920736,2024-04-06,2024-04-06,The Secret Business of Nightclubs,Modern MBA
chocolate,1,1,False,1603550,1603550,2022-10-01,2022-10-01,The Evil Business of Chocolate,Jake Tran
marijuana,1,1,False,1535179,1535179,2025-07-13,2025-07-13,The Crumbling Business of Marijuana,Modern MBA
tacos,1,1,False,1486946,1486946,2024-07-21,2024-07-21,The Territorial Business of Tacos,Modern MBA
understanding spotify,1,1,False,1385747,1385747,2024-04-05,2024-04-05,Understanding The Broken Business of Spotify,MBA Maven
diners,1,1,False,1278838,1278838,2023-08-13,2023-08-13,The Invincible Business of Diners,Modern MBA
jay z,1,1,False,1059807,1059807,2024-11-02,2024-11-02,The Shady Business of Jay Z,Xevi
nelk empire,1,1,False,1023531,1023531,2026-03-22,2026-03-22,The Dirty Business of the NELK Empire,JAMARI
sneakers,1,1,False,966973,966973,2024-08-18,2024-08-18,The Shrinking Business of Sneakers,Modern MBA
adin ross,1,1,False,937749,937749,2025-12-22,2025-12-22,The Controversial Business of Adin Ross,golfcart
donuts,1,1,False,926831,926831,2024-05-12,2024-05-12,The Evolving Business of Donuts,Modern MBA
balding & hair loss,1,1,False,811516,811516,2022-08-28,2022-08-28,The Dreadful Business of Balding & Hair Loss,Modern MBA
kylian mbappé,1,1,False,805986,805986,2023-03-23,2023-03-23,The Controversial Business of Kylian Mbappé,Athletic Interest
extortion in hip hop,1,1,False,765121,765121,2023-03-10,2023-03-10,The Evil Business of Extortion in Hip Hop,HipHopMadness
ashton kutcher & mila kunis thorn is not what you think,1,1,False,755385,755385,2025-10-11,2025-10-11,The Sketchy Business of Ashton Kutcher & Mila Kunis (Thorn Is NOT What You Think),Coffee and Cults
fake world cup jerseys,1,1,False,676557,676557,2026-07-12,2026-07-12,The Illegal Business Of Fake World Cup Jerseys,Business Insider
aviator game,1,1,False,647738,647738,2025-04-28,2025-04-28,The Evil Business of The Aviator Game!,Found In Africa
drilling deep into the earth bloomberg primer,1,1,False,536216,536216,2025-04-03,2025-04-03,The Big Business of Drilling Deep Into the Earth | Bloomberg Primer,Bloomberg Originals
religious manipulation,1,1,False,493443,493443,2025-08-14,2025-08-14,THE DIRTY BUSINESS OF RELIGIOUS MANIPULATION,Too Harsh
reupload,1,1,False,476604,476604,2024-04-19,2024-04-19,The Toxic Business of 2023 [REUPLOAD],Ordinary Things
barcelona,1,1,False,457355,457355,2023-05-19,2023-05-19,The Insane Business of Barcelona,Athletic Interest
