anchor,n_videos,n_channels,contested,median_views,best_views,first_seen,last_seen,best_title,best_channel
islam’s golden period waqfboard islam waqfbill,1,1,False,6170180,6170180,2025-04-18,2025-04-18,The decline of Islam’s Golden Period!  #waqfboard #islam #waqfbill,Hyper Quest
subway,1,1,False,4752157,4752157,2025-03-04,2025-03-04,The Decline of Subway,Step
"creepy, cringe and confused joe biden",1,1,False,4423704,4423704,2023-06-21,2023-06-21,"Creepy, Cringe and Confused: The Decline of Joe Biden",News24
reason behind the fast bowling in pakistan cricket team,1,1,False,4414028,4414028,2026-02-22,2026-02-22,Reason behind the the decline of fast bowling in pakistan cricket team,THE SECOND INNINGS
hollywood is evil storytelling in filmmaking,1,1,False,4210219,4210219,2024-09-20,2024-09-20,"""Hollywood is EVIL"" - The Decline of Storytelling in Filmmaking",PBD Podcast
thala dhoni upset about odi s r ashwin shorts,1,1,False,3931893,3931893,2023-09-20,2023-09-20,Thala Dhoni upset about the decline of ODI's | R Ashwin #shorts,Ashwin
kfc what happened,1,1,False,3924069,3924069,2022-10-26,2022-10-26,The Decline of KFC...What Happened?,Company Man
kfc,2,2,True,3388026,6293537,2023-03-21,2025-03-20,The Decline of KFC,Dylan Jardon
long john silver s,1,1,False,2644580,2644580,2023-01-27,2023-01-27,The decline of Long John Silver's,Smart Nonsense
kmart shorts,1,1,False,2395956,2395956,2022-10-18,2022-10-18,The Decline of Kmart #shorts,Smart Nonsense
tim burton,1,1,False,2374843,2374843,2022-10-29,2022-10-29,The Decline of Tim Burton,Broey Deschanel
president how biden’s age is becoming apparent,1,1,False,2250379,2250379,2023-06-09,2023-06-09,The Decline of a President: How 'Biden’s age is becoming apparent',News24
football nfl nflshorts footballshorts football madden26 madden27 nflnews,1,1,False,2196043,2196043,2026-01-19,2026-01-19,The Decline Of Football #nfl #nflshorts #footballshorts #football #madden26 #madden27 #nflnews,New York Sports Show
blockbuster,1,1,False,2179635,2179635,2022-11-16,2022-11-16,The decline of Blockbuster,Smart Nonsense
comedy movies,1,1,False,2051000,2051000,2024-06-14,2024-06-14,The Decline of Comedy Movies,gabi belle
