anchor,n_videos,n_channels,contested,median_views,best_views,first_seen,last_seen,best_title,best_channel
ship,1,1,False,586467,586467,2026-04-02,2026-04-02,The Economics of Owning A Ship,Neu
casino,1,1,False,585080,585080,2026-05-05,2026-05-05,The Economics of Owning a Casino,Millionaire Problems
nightclub,1,1,False,301041,301041,2026-07-10,2026-07-10,The Economics Of Owning A Nightclub,ZANROO
hotel,1,1,False,264527,264527,2026-05-29,2026-05-29,The Economics of Owning a Hotel,The Profit Problem
gym,1,1,False,240485,240485,2026-07-13,2026-07-13,The Economics of Owning a Gym,Mr. Finance
gas station,2,2,True,195748,302907,2026-06-01,2026-07-13,The Economics of Owning a Gas Station,Overhead
mcdonald s franchise,1,1,False,194144,194144,2026-04-27,2026-04-27,The Economics of Owning a McDonald's Franchise,Millionaire Problems
movie theater,1,1,False,160458,160458,2026-07-04,2026-07-04,The Economics of Owning a Movie Theater,Overhead
ranch,1,1,False,159490,159490,2026-07-06,2026-07-06,The Economics of Owning a Ranch,Mr. Finance
construction company,1,1,False,157547,157547,2026-07-15,2026-07-15,The Economics of Owning a Construction Company,Mr. Finance Extra
shopping mall,1,1,False,126865,126865,2026-07-03,2026-07-03,The Economics Of Owning A Shopping Mall,Mr. Finance
cafe,2,2,True,123508,179531,2026-07-04,2026-07-22,The Economics Of Owning a Cafe,The Wealth Cortex
private military company,1,1,False,116149,116149,2026-05-11,2026-05-11,The Economics of Owning a Private Military Company,Millionaire Problems
medieval castle,1,1,False,108031,108031,2026-07-16,2026-07-16,The Economics of Owning a Medieval Castle,Mr. Finance Chronicles
car dealership,1,1,False,89918,89918,2026-07-12,2026-07-12,The Economics of Owning a Car Dealership,Mr. Finance
bank,2,2,True,83890,102364,2026-06-25,2026-06-30,The Economics of Owning a Bank,Millionaire Problems
medieval tavern,1,1,False,82621,82621,2026-07-18,2026-07-18,The Economics of Owning a Medieval Tavern,The Expensive Part
roman legion,1,1,False,77716,77716,2026-07-15,2026-07-15,The Economics of Owning a Roman Legion,Mr. Finance Chronicles
mansion,1,1,False,70757,70757,2026-08-02,2026-08-02,The Economics of Owning a Mansion,THE OWNERS
business as a developer,1,1,False,66185,66185,2026-07-27,2026-07-27,The Economics Of Owning a Business as a Developer,Bgo
soccer team,1,1,False,63772,63772,2026-06-24,2026-06-24,The Economics of Owning A Soccer Team,Money Pit
plane,1,1,False,57624,57624,2026-05-04,2026-05-04,The Economics of Owning A Plane,Neu
rental property empire,1,1,False,56525,56525,2026-07-28,2026-07-28,The Economics of Owning a Rental Property Empire,Ned Talks Business
cinema,1,1,False,54398,54398,2026-07-09,2026-07-09,The Economics of Owning a Cinema,Mr. Finance
trucking fleet,1,1,False,53166,53166,2026-07-11,2026-07-11,The Economics of Owning a Trucking Fleet,Mr. Finance
five star hotel,1,1,False,52322,52322,2026-07-19,2026-07-19,The Economics of Owning a Five Star Hotel,Mr. Finance
super market,1,1,False,51702,51702,2026-07-15,2026-07-15,The Economics of Owning a Super Market,Mr. Finance
yacht,1,1,False,49104,49104,2026-07-28,2026-07-28,The Economics of Owning a Yacht,THE OWNERS
private island,1,1,False,47351,47351,2026-06-28,2026-06-28,The Economics of Owning A Private Island,Money Pit
coffee shop,1,1,False,44757,44757,2026-07-20,2026-07-20,The Economics of Owning a Coffee Shop,Mr. Finance
school,1,1,False,42711,42711,2026-07-05,2026-07-05,The Economics of Owning a School,Mr. Finance
cemetery,1,1,False,42283,42283,2026-05-18,2026-05-18,The Economics of Owning a Cemetery,Millionaire Problems
restaurant,1,1,False,41146,41146,2026-07-12,2026-07-12,The Economics of Owning a Restaurant,Mr. Finance
hospital,1,1,False,40140,40140,2026-07-02,2026-07-02,The Economics of Owning a Hospital,Mr. Finance
storage unit facility,1,1,False,39394,39394,2026-07-11,2026-07-11,The Economics of Owning a Storage Unit Facility,Ned Talks Business
medieval blacksmith shop,1,1,False,34325,34325,2026-07-23,2026-07-23,The Economics of Owning a Medieval Blacksmith Shop,The Expensive Part
private jet,1,1,False,31935,31935,2026-05-16,2026-05-16,The Economics of Owning A Private Jet,KATHREEN BALE
restaurant fhs grace,1,1,False,38,38,2023-12-15,2023-12-15,The Economics of Owning a Restaurant - FHS Grace,Grace Lee
understanding superbike misconceptions expensive bikes career viral,1,1,False,13,13,2024-04-29,2024-04-29,Understanding the Economics of Owning a Superbike.#misconceptions#expensive bikes#career#viral,MN PODCASTS
