id,upload_date,date_interpolated,views,duration_s,likes,comments,frame,topic,era_residual_x,title
hKGwGAHznFQ,20190619,1,2500000,713,,,Q,C,1.0,Norway: Is It The Perfect Economy?
INQQdY0SzW4,20190703,0,817568,664,18681,3900,Q,C,1.619,Australians are the Richest People in the World?
Gc_nLK4ji_k,20190710,1,342000,902,,,L,K,0.677,The Economics of Automation: What Does Our Machine Future Look Like?
SSGb7DOSPVE,20190717,1,1100000,621,,,L,K,2.178,The Economics of Poverty
efBG1YfuNhg,20190731,0,1340935,1424,25594,852,N,K,2.655,How This Man Profited $1 Billion Betting on Hong Kong Horse Races
nrW6p5ns8K8,20190808,0,1163651,646,32129,1400,L,F,2.304,The Economy of EVE Online
dQRzr2zU2Xw,20190815,1,368000,475,,,L,F,0.729,The Economy of EVE Online (Part 2): The Robot Problem
ErUQnd-YFGg,20190822,0,2492863,671,73190,6000,V,C,4.936,Japan: The Fading Economy
YUNYQl0hlyk,20190825,1,415000,610,,,L,F,0.822,The Economy of EVE Online (Part 3): Mega Projects
58UW_MBgb4M,20190829,1,323000,561,,,L,K,0.64,The World's Top Economies in 9 Minutes
VU0jxPZpAO8,20190905,1,106000,681,,,L,F,0.21,The Economics of Star Citizen In 2020
inPcztqj9RE,20190919,0,564106,748,14394,1300,V,K,1.117,The Bitter Economics of MLM
8iQdzsnnUbk,20190926,0,530088,603,14393,946,L,C,1.05,The Crazy Economy of Monaco
5-fYte8dE2M,20191003,1,3100000,717,,,V,C,6.138,The Pathetic Economy Of North Korea
P0O8jrbB6xg,20191010,0,970966,889,32276,4600,V,C,1.923,India: The Next Economic Superpower
DRQQ8FzdTMI,20191012,0,332860,440,10393,772,L,F,0.659,The Economy of Runescape
-627kxtzyak,20191017,0,556179,616,20252,1300,L,C,1.101,Switzerland: The Land of the Rich & Home of the Bank?
M3uVBspcZUc,20191019,0,498541,435,25654,3600,L,E,0.987,The Economics of Andrew Yang
ig_EO805rpA,20191024,0,1429762,876,37451,1600,L,K,2.831,The Economics of Foreign Exchange
KEgOmklwjfQ,20191026,0,268172,703,9384,1200,L,K,0.531,The Economics of Bitcoin
d0-Ptm6TL1U,20191031,0,375429,551,12720,480,L,F,0.743,The Economy of Westeros
g9ffSJHEe0A,20191103,0,580953,758,20989,2200,L,E,1.15,The Economics of Donald Trump
sLWulVrQvsY,20191107,0,510964,732,13377,931,L,K,1.012,Negative Interest Rates: Explained
uRnIHyI02EU,20191110,0,1357904,711,32420,4600,L,C,2.689,The Remarkable Economy of Canada
7_mThYXDr_s,20191114,0,1277197,752,39627,5000,V,C,2.529,The Economic Failure of Venezuela
aKuNk5ZRzLg,20191117,0,398695,604,12270,1000,L,C,0.789,The Economic Powerhouse of Singapore
5nGYkH9ifzM,20191121,0,122286,723,6422,1200,L,K,0.242,The Harsh Economics of Climate Change
oUVchh37AO8,20191128,0,499151,882,15526,683,L,K,0.988,High Frequency Trading (HFTs): Explained
ZsaZnl-vWyQ,20191201,0,762995,665,22798,2300,L,C,1.511,The Monolithic Economy of The U.S.A
i0FOUR5x5Rg,20191205,0,478701,654,16742,1100,Q,C,0.948,The Netherlands: Worlds Biggest Tax Haven?
kBeWuIEKsn0,20191208,0,470871,711,16555,1100,L,C,0.932,The Economy of The U.S.A (Part 2): The Modern Global Empire
Ag5XmYWJ3mI,20191212,0,1183632,662,27848,2700,L,C,2.344,The Economy of The United Kingdom
6wBvG533K8A,20191215,0,780832,603,21223,1900,L,C,1.546,The Modern Economy of Russia
KNMxn_Inl9o,20191219,0,106185,606,5622,601,L,F,0.21,The Economy Of The North Pole
Vi-U9wfa3CE,20191222,0,431806,610,13282,1600,L,H,0.855,The Historic Economy of China
fD-k7xmuGnU,20191226,0,142087,678,5450,260,L,E,0.281,The Christmas Crash of 2018
dSoCQmSpF2U,20191228,0,91517,649,4652,348,L,M,0.181,Economcs Explained Mistakes of 2019
zR1wh0lh0J8,20200102,0,252625,752,10176,645,L,F,0.373,The Economy of The Star Wars Galaxy
TzheqMtbEWY,20200105,0,1575707,923,44152,4400,L,C,2.324,The Economy of Germany
YtzFn73sYmU,20200109,0,473747,782,14756,1100,L,H,0.699,The Economy of Communist China
2E0dWHCnic8,20200112,1,733000,892,,,L,C,1.081,The Economy of Sweden
bebqpN2niFc,20200116,0,762815,909,18531,1600,L,C,1.125,The Economy of Iran
uL4GSQbou6k,20200119,0,747140,872,20774,2900,L,C,1.102,The Economy of South Africa
PjhHazg5GRY,20200123,0,626775,881,14957,910,L,F,0.925,The Economy of Entropia Universe - The Real Cash Video Game
S3Jkqqlpibo,20200126,0,2479894,932,66056,9500,L,H,3.658,The Economy of the Soviet Union
mU6pHvpc3TY,20200130,0,178202,718,6686,534,L,K,0.263,The Economics of Disasters
JNhsB0h7gZc,20200202,0,474187,918,13752,1300,L,C,0.699,The Economy of Modern Day China
0MeRN7LE1LQ,20200206,0,2032090,981,54230,3000,L,K,2.997,The Ranks of Global Billionaires: Not All Billionaires Are Made Equal
B8aV--1TMpQ,20200209,0,690784,926,18963,2800,L,C,1.019,The Economy of the Philippines
NoYSCeHmaQw,20200213,0,722128,1137,17826,2400,L,C,1.065,The Economics of Brexit
5B0Sc52jLxg,20200216,0,890231,1065,24054,1800,L,C,1.313,The Modern Economics of the USA: The Land of Debt & Demand
Vnsr8f9nJd4,20200219,1,656000,1071,,,L,K,0.968,The Age Of Trillion Dollar Mega-Corporations
BvuQD6SUTdc,20200223,0,1450455,1016,36315,3300,L,C,2.14,The Economy of Greece
hjVFwqM7xuo,20200227,0,1040603,1115,27787,1500,L,H,1.535,The Economics of the Dutch East India Company
