id,date,views,likes,comments,dur,title
34YzGHHwlYk,20101227,599,4,1,7,Zi6_0277.MOV
MH1WzCtwo0A,20260420,1028,50,5,1376,China Released Millions Of Rabbits Into the Desert — What Happened Next Shocked the World!
vNYTbILlxtY,20260422,486,21,0,1133,Why China Keeps Going Back to the Moon (And What It's Really After)
zDh7qG4Hzk4,20260424,955,32,5,716,China Just Built a Weapon the US May Not Be Ready For
sBcowgqds6Y,20260426,315,15,1,1836,China's Secret Plan to Kill the Dollar Is Almost Complete
XsyS4lwx_Mk,20260427,184450,3912,233,1895,China Just Switched On A Machine That Breaks Every Rule Of Power Generation
omEcIta8HKQ,20260429,443,16,4,1678,How China Secretly Owns an Entire Continent (And Nobody Noticed)
qRCBegpwqAc,20260502,2558,59,3,866,How China Makes Billion Dollars From Farming – Massive High Tech Agriculture Industry
Ak7JgSFTd_M,20260508,17252,296,23,1589,China Just Built Something the Rest of the World Said Was Impossible
6LmzfcYyoJ8,20260510,15155,374,38,1843,China Is Building the Ships That Will Rule the World's Oceans for the Next 30 Years
pRJ36aJlCoE,20260511,564,18,0,1436,China Built a 57-Story Skyscraper in 19 Days. The Rest of the World Has No Answer
b2BBhnOHz4Y,20260512,1446,45,1,1089,China Is 3D-Printing Entire Buildings — And Stacking Them in Just 28 Hours
lpVaZO-j1mA,20260514,701,47,4,1131,China's Economy Was Dying - Then They Did Something Nobody Expected
24k0HEH8aio,20260516,61753,839,32,1727,These 8 Chinese Machines Are So Advanced Engineers Are Calling Them Impossible
6T54c1b8i6Y,20260517,126216,2936,259,2240,China Just Replaced Steel With This INSANE New Material
c4X1gV8kwpE,20260522,52142,869,26,1692,China Just Shocked The Entire Car Industry With This New Engine
pRGDjkKEIJI,20260523,206845,3596,292,2275,China Planted BILLIONS Of Trees In A Dead Desert — 10 Years Later Scientists Were Speechless
EFdzoR8F1E0,20260526,342054,8327,439,1679,China Pumped BILLIONS Of Litres Of Ocean Water Into A Dead Desert — What Happened Next Was Shocking
V55VEoLchuA,20260531,131200,3412,144,1791,China Released BILLIONS Of Fish Into A Dying River — What Happened Next Left Scientists Speechless
pdOGvIg2y2M,20260602,140333,2537,60,1804,China Dropped A 4000-Ton MONSTER Into The Gobi Desert — What It Did Next Shocked The Entire World
kqT-t3ukbYE,20260604,58482,2001,120,1840,China Could Replace Silicon With INSANE New Glass — The Entire Chip Industry Is Shaking
HDmQX10f3pU,20260606,14272,744,31,1513,These 12 Inventions Prove That China Is Living in 2050
aBXqHZgFBoo,20260608,664002,18011,566,1282,China's Insane Breakthrough Could Replaced Concrete — Engineers Are Calling It Impossible
IyzqWTDzeBQ,20260609,73942,1336,47,1392,China Built an Airport Where Planes Were Never Meant to Fly
alPFwmFrQgs,20260610,47194,1117,71,1646,China's 1500km Range Battery Is Shaking The Entire EV Industry
Gj0FM2Qp7zY,20260611,133737,3111,190,1263,China's $16 Billion Railway in Malaysia Will Change Southeast Asia Forever
XVywvmCp4Ng,20260613,398313,7288,275,1223,China Built The World's Largest Building — And Put A Beach Inside It
MkzcgN4_sB8,20260614,177474,7822,171,1666,China Released Wild Horses Into a Dead Desert — What Happened Next Shocked Everyone
rFxJw39YJtU,20260615,181940,3474,93,1246,China's Biggest Breakthrough — A Battery That Runs on Salt
vFTIHVNmckw,20260616,10911,445,18,1485,China Is Now Building The World's Biggest Dam In Africa | Grand Inga
bznj7jPk2T8,20260617,161365,4361,375,1263,China And Russia Are Erasing Their Border — Here's How
rqeJu1IxaE0,20260618,70311,2614,359,1561,China Just Revealed Their Most Advanced Fighter Jet | J-50
4_g5DiIudBk,20260619,231226,4753,217,1383,"China's Insane 1,400km Quad-Motor Tank Is Destroying Western Off-Roaders | Jetour T8"
TlfIydQU3Oc,20260620,27806,768,124,1334,Why China Shines Bright at Night but America Doesn't
k4ohvdB4WKs,20260621,32157,1813,179,1441,China Is Quietly Winning the Thorium Nuclear Race (And No One’s Noticing)
yr7q3z_Mzxc,20260622,9386,577,82,1408,The Water Ice China Found On Moon Will Change Space Forever
JslROsmHxNQ,20260623,11757,297,12,1264,This Chinese Brand Is Taking Over Mercedes Showrooms
1HCPltA80aM,20260624,60305,1167,76,1948,Why China's Cars Cost Less Than an iPhone
RCXxyNTa8rI,20260625,163587,5777,227,1391,China Just Built an AI Chip — And Ended Nvidia's $50 Billion Empire
aIBJPKaw9WM,20260626,63054,1947,71,1251,China's INSANE Drones Are Lifting Tower Cranes Into the Sky
DAtwo5Nw85c,20260627,345326,9543,421,1801,China's BYD Blows Up The Entire Car Market With This BIG ANNOUNCEMENT
2nT3GLXVhT8,20260628,123486,2832,174,1299,China Just Killed The Battery Pack — The Car Itself Is The Battery
6ttHu27pofI,20260629,153525,3069,154,1361,China Built The Largest Oil Tanker In The World
e_U61bnpXHw,20260630,41777,1078,73,1309,China's Floating NIO ES9 Just Killed Air Suspension!
OIJ9HajDnFY,20260701,45030,2558,76,1373,China's First Canal In 1000 Years Will Out-Cargo The Panama Canal
Th-LkBp0QSg,20260702,54897,1615,55,1307,China's Newest Train Station Is Bigger Than An Entire City
QT2rV9W_rSk,20260703,17204,1004,51,1469,China is Quietly Building American Warships in the Desert
ndbEXrYtIUQ,20260704,315630,7811,248,1254,China Just Made Wood Obsolete — Engineers Can’t Believe This
1N0weZVzNqU,20260705,73565,2793,60,1430,This Airplane From China Is Shocking Everyone
IlvK4wB3cNE,20260706,61761,2828,85,1443,China’s AI City Looks Like It Came From 2050
C-c4BHL9-14,20260707,25861,1182,30,1841,China Found the Last 3 Trees on Earth — What They Did Next Shocked Everyone
tKLdx89-GJI,20260708,16612,1034,87,1922,China’s 6G Breakthrough Could Finally Make Holograms Possible
3t-F9uzbqv0,20260709,131592,2221,90,1938,Most Reliable Chinese Car Brands in 2026 – Ranked by Actual Owners (The Truth)
UOt67BDrbWE,20260710,237778,8051,111,1293,China Found Something Shocking 7 Miles Deep In The Ocean | Mariana Trench
n5b7UGd5osQ,20260711,70479,3013,95,1309,China Just Invented A Glass That Generates Its Own Electricity
rFpWVmZRBlY,20260712,9870,462,39,1351,How China Quietly Took Over The Entire EV Industry
fVpzx9buhTk,20260713,73385,3223,126,1364,China Built An AI Doctor — And It's Already In 300 Hospitals
muBOPh4AuKA,20260714,91143,3057,83,1555,How China is Cooling Cities Without Air Conditioners
pCiCv2lt6Jg,20260715,109874,2539,54,1240,China's New Ship is Shocking Everyone
Bl5QV_pWqiM,20260716,429543,11370,703,1561,New Energy Breakthrough From China Is Shocking Everyone
6QpHaxsjZa0,20260717,32982,694,28,1375,China’s Casino City Makes 7× More Than Vegas
dW9WKeIqqfY,20260718,23225,1011,43,1573,China's New Jet Engine Is Shocking The Entire Aviation Industry
QJ1Lm24yZvQ,20260719,8653,353,13,1304,"China's Deep Sea Robot Is Mining Rare Earth At 6,000 Meters"
M5og_LpVhsY,20260720,12349,596,31,1529,China Just Built The Impossible Chip
cyh2UimDWjw,20260721,390022,6925,210,1412,China Is Printing Entire Buildings Like Lego — Then Stacking Them In 28 Hours
CGZG8P0s6TQ,20260722,326933,8048,262,1533,China's New Ships Will Change Everything
vo-yilnELkc,20260723,35255,1274,30,1345,China's Grid Battery Lasts 30 Years Without Lithium
dEX3K68657g,20260724,9595,592,22,1337,This Power Plant From China Is Shocking Everyone!
zEk5esHbSu4,20260725,94581,3186,116,1675,China's New Breakthrough Could Replace Copper
sHf0mX3Eqww,20260726,33658,1992,56,1351,China's $20 Battery Is Destroying The Biggest Argument Against Renewables
39FdT4bjWc0,20260727,131288,4151,71,1604,China Is Recycling Mountains of Waste With This Insane Technology
13qhknLOJyA,20260728,35076,970,17,1486,China’s Graphene Concrete Is Changing the Future of Construction
UOFCVpZvc1U,20260729,5260,238,11,1560,China Turned On the World’s Biggest Superconducting Magnets for This Project
jhrinRHSXnA,20260730,43038,1120,48,1698,China Just Broke 5 Car World Records In Just 1 Year
UHrmwSEvDgY,20260731,49535,1004,21,1268,How China Recycles Mountains of Concrete Every Year
4GmlqLST6m8,20260801,32522,1450,73,1682,China Rebuilt Its Power Grid in Just 10 Years — America's Is Still Stuck in the 1960s
