query,outlier,views,subs,date,mins,channel,title,id
ai art killed artists,3.506,1619833,462000,2026-06-05,17.1,ErikDoesVFX,Did AI Just Kill VFX?,eIq1uw8q3dE
ai art killed artists,2.664,3437,1290,2025-12-10,16.9,arsLovesWeb,AI Art Is Slop And It's Killing Your Creativity,GIY9smB43sk
ai art killed artists,2.491,111584,44800,2025-04-12,10.3,Reesearoo,AI is Killing the Internet,5Th-DKQh88o
ai art killed artists,2.009,5727,2850,2025-12-07,13.2,anna tria ,AI is killing art… and no one wants to admit it,WexWDitWUdQ
ai art killed artists,1.155,2794,2420,2026-04-27,11.3,Nick Art,AI Is Killing Art — And I Can Prove It,M6_XBj6oLxk
ai art killed artists,0.947,2177474,2300000,2025-07-12,2.0,LavenderTowne,the saddest pro-ai comment ever #shorts #art,elJ5lKCtmiM
ai art killed artists,0.433,5326,12300,2025-10-27,137.5,The Undraped Artist Podcast,Is AI the Death of Art?,hUDlmH3Xc7o
ai art killed artists,0.391,35919,91800,2026-08-11,8.3,Andrew Southworth,Spotify Just Killed AI Generated Music,2xTZnR5Z5t8
ai art killed artists,0.384,1601543,4170000,2025-11-23,11.7,CNBC,How AI Is Killing The Value Of A College Degree,KW067woSxws
ai art killed artists,0.313,49102,157000,2025-04-02,23.5,Rin,AI is The Death of Art,VG0oi8xk0V4
ai art killed artists,0.299,2604,8700,2026-06-10,7.2,Arts & Entertainment Ministries,Why AI Art is Dead,xF-ydQk8YTI
ai art killed artists,0.293,3599,12300,2026-01-05,17.1,Trevor Drudge Music,AI and The Death of Music. Is it over for musicians?,v93O3smq_Z4
ai art killed artists,0.264,99957,378000,2025-10-06,11.9,Valek,"L’IA est en train de TUER les ""artistes""",lY_UFhmOkJk
ai art killed artists,0.24,179160,747000,2025-10-18,23.2,Mohammed Agbadi,The AI Art FLOOD on Etsy That’s KILLING The Art Community,O4V3mBT4JEs
ai art killed artists,0.2,11443,57200,2025-09-20,2.7,CONSCIOUS JOOSE,"First lizzo, now Kehlani speaks on AI killing the industry",eqgmvMVP7d8
ai art killed artists,0.175,36563,209000,2025-10-22,17.4,J Hill,A.I. isn't killing art,D-B8UrILp3U
ai art killed artists,0.146,853,5850,2026-08-19,13.7,DVMP Comics,how is AI even killing art?,VuQUuSMbpUQ
ai art killed artists,0.11,1671,15200,2025-03-30,17.2,Draw or Die Co. | Daily Drawing Club,AI Art Is Taking Over… But Here’s Why It Won’t Kill Real Artists,D1tu4jD7iS8
ai art killed artists,0.075,6279,84200,2025-04-09,14.9,Abe Leal 3D,Is Art Dead in the Age of AI?,3zu0PtSZUfw
ai art killed artists,0.072,6588,91800,2026-08-14,22.6,Andrew Southworth,I Found Out Why Spotify Killed AI Music feat. Sam Duboff,gNTgDY1V0pg
ai art killed artists,0.062,10150,164000,2026-03-01,6.2,Stefan 3D AI,AI is Killing 3D… and You Can’t Stop It,19qOD7ryN2U
ai art killed artists,0.059,24454,412000,2025-09-30,2.6,L'Actu Animée,Les anti-IA vont TUER les artistes,63efG-hHc98
ai art killed artists,0.043,6996,162000,2026-05-03,18.0,Kayla Carlile,AI Is Killing Cheap Wall Art… And That’s Actually GOOD for Artists,8qiy41rsx7U
ai art killed artists,0.028,439929,15500000,2026-08-10,16.2,The Infographics Show,The AI Economy Is DEAD. 6 Billion Images Now POISONED.,zF-mbwc5Mmw
ai art killed artists,0.027,3603,132000,2026-04-10,12.0,Ryuu - Blender Bros,AI Is Killing Junior 3D Artists (And No One's Talking About It),R8HgJ_ZN_cA
ai art killed artists,0.022,1237,57300,2025-10-15,5.8,Audio Arkitekts,AI is Killing Music (And Nobody's Talking About It),R9SyBUFViuo
ai art killed artists,0.02,1923,95700,2026-01-05,13.3,OhItsTeddy,AI Is Killing Art!?,9tqyXpHLZ2k
ai art killed artists,0.02,73281,3670000,2025-11-11,16.7,Anthony Vincent,AI is the death of music,TUxL0GSGh70
ai art killed artists,0.005,3377,745000,2025-11-07,16.3,UPSC Unstoppables by Unacademy,Can AI Paint Emotion? This is How It’s KILLING Real Art | Aarti Chhawari,W5eupqhvn-Y
ai art killed artists,0.002,10127,5160000,2025-07-20,7.1,Kauczuk,"AI killed art, but I try to save it 🎨 ✍️",qsxcN6ETZig
ai art killed artists,0.0,116,44600000,2026-08-14,16.4,TEDx Talks,Is AI the death of Art | Kamal Saleh | TEDxUnity Grammar Youth,WpbDv419tBY
ai data center next to your house,992.609,1220909,1230,2025-03-06,1.7,Piedmont Media,Data center noise at Great Oak community outside Manassas #news,9ByT2TU02DM
ai data center next to your house,922.328,2803878,3040,2026-07-29,11.1,Applied Digital,Debunking the Biggest Myth About AI Data Centers | Behind the Build Ep. 4: Inside the Loop,qbwum-qGT4o
ai data center next to your house,13.464,1642576,122000,2025-08-30,30.2,High Yield,How AI Datacenters Eat the World,dhqoTku-HAA
ai data center next to your house,13.053,412490,31600,2026-07-23,40.3,"Leo Cui, Ph.D., CFA ",The Entire AI Data Center Explained — From Electricity to ChatGPT,ckoi0RTEgcY
ai data center next to your house,10.504,352933,33600,2026-07-23,3.0,The Wall Street Skinny,The TRUTH About AI Data Centers ($$ Edition),T5LYwGOeDbk
ai data center next to your house,8.604,406088,47200,2026-07-19,9.4,Kiraa,Apple Just Killed AI Data Centers,UBArQl_KVzo
ai data center next to your house,3.217,3313422,1030000,2026-05-28,21.8,PBS Terra,We Saw What AI Data Centers Don't Want You to See,5p426fSlYH4
ai data center next to your house,2.726,91585,33600,2026-07-26,2.8,The Wall Street Skinny,The TRUTH about AI Data Centers (Energy Edition),2EvyCc6OYJg
